	YiSi-1	HUMAN_RAW	COMET-2R	COMET	prism	paresim-1	esim	parchrf++	YiSi-0	CharacTER	chrF	chrF++	BERT-base-L2	EED	BLEURT	MEE	OpenKiwi-XLMR	mBERT-L2	COMET-HTER	TER	COMET-MQM	BERT-large-L2	OpenKiwi-Bert	YiSi-2	parbleu	BLEURT-extended	BLEU	sentBLEU	COMET-Rank	COMET-QE
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019266002926080526	0.016421245360129927	0.010707749806050946	0.013083816637091399	0.04563878499500756	0.005310281804094539	0.0008184213596346565	0.001276899448986837	0.00036737365196581293	0.003873289943606054	0.000700414831957082	0.00030778538666939126	0.0004834316136734346	0.00012805227858598707	1.7465757600720703e-05	3.3538386376606334e-06
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.018543782599248198	0.00848333081281808	0.007104623747057555	0.003910945310278707	0.0038176346625018384	0.0017869401034405227	0.0014706006735767008	0.00141987618327699	0.0003524887234523711	5.977082321327262e-05	1.1817028486643587e-05
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04354041266264854	0.12	0.0018122689648800423	0.02073073647836744	0.009929891423788986	0.008119898053307055	0.005004515702375728	0.000374163413117909	0.0013737627364179064	0.0016613397154867293	0.0013518033971425334	0.0002675917904442796	4.735539125918585e-05	1.0337479289276495e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.030787533216580284	0.12	0.009876500247124555	0.040900352385862974	0.0013816432310857262	0.008742718727823758	0.12	0.01301993109397859	0.0028895291868106434	0.0018006550091467385	0.0001670907821167343	0.005304592056851386	0.0016507985619175062	0.00031891468441851595	0.0013252796426614566	0.00030128907886743775	3.280349824708433e-05	6.758446036843138e-06
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0015570542123490556	0.026075775268424264	0.012178211317471169	0.010067579205281755	0.006480860482751676	0.00036461177844081873	0.0020955200703589405	0.002050864826814245	0.0019754421714078037	0.00041323019900069835	6.629670066287722e-05	1.4215104837598172e-05
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00015274904682711086	0.12	0.12	0.04531192889797643	0.014791915858423122	0.011377706468365287	0.0004209190860359411	0.011852094701821265	0.005607972540622761	0.002228445381528258	0.004582812798142858	0.0011744573170981317	0.00017820824950730526	3.124998069656644e-05
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0004678902966007573	0.12	0.12	0.04940699639292843	0.016963507003127404	0.013190382167608455	0.000690944871217874	0.012892910707044038	0.006223089802612647	0.002651995688092293	0.005083378005437445	0.0013140069216747035	0.00020282209767191108	3.578333196977549e-05
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04027443001219542	0.12	0.12	0.12	0.03695823143624095	0.12	0.12	0.12	0.012090262474364627	0.016119838341674565	0.012607296492693232	0.013909229546920107	0.014274210272050444	0.001810296309936466	0.0034518698331205255	0.000600253958159024	0.0003179129208743278	9.574563967926828e-05	1.4663685219573377e-05
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.006407992353221604	0.12	0.12	0.12	0.0011747898034545955	0.006846574639780646	0.0040912037790409575	0.009369921703875532	0.013940197278787042	0.0002954703646534473	0.001171658603915102	6.94571050708777e-05	4.65320950149628e-05	2.1403972696877164e-05	3.2376358446083214e-06
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03890454250368841	0.12	0.12	0.12	0.00732833907500364	0.018136661215909962	0.010060065874250504	0.01533438884835525	0.015406048351448879	0.0014585497615007615	0.0025397909724560984	0.0005385947781034353	0.00019958114748055237	4.9229120024560236e-05	1.0548656040700217e-05
