	Pearson	N	Winner
HUMAN_RAW	0.8474081339130805	9	True
parbleu	0.8309095220874828	9	True
mBERT-L2	0.8253267993107561	9	True
paresim-1	0.8065182942899453	9	True
BLEURT-extended	0.805046709821403	9	True
COMET-QE	0.8046278749406406	9	True
BERT-large-L2	0.8013582509230662	9	True
esim	0.7979731732004098	9	True
BERT-base-L2	0.7978559813495593	9	True
BLEU	0.7965819413757903	9	False
YiSi-0	0.7902788577221567	9	True
YiSi-1	0.7809715152145756	9	True
COMET-HTER	0.769212559838024	9	True
BLEURT	0.76914997711168	9	True
COMET	0.768681009191487	9	True
COMET-2R	0.7637346212149336	9	True
prism	0.7630855108128688	9	True
sentBLEU	0.7626972251621107	9	False
EED	0.7468449480071194	9	True
TER	0.7440803721073302	9	True
OpenKiwi-Bert	0.7409690079061702	9	True
parchrf++	0.7039008736643434	9	False
OpenKiwi-XLMR	0.7012338483495004	9	False
CharacTER	0.6964973000660467	9	False
COMET-MQM	0.6864356775147489	9	True
chrF	0.6829956091435468	9	False
chrF++	0.6807640910369865	9	False
MEE	0.6735918719926307	9	False
COMET-Rank	0.58235185522439	9	False
YiSi-2	0.40426518774056663	9	False
