	HUMAN_RAW	parbleu	mBERT-L2	paresim-1	BLEURT-extended	COMET-QE	BERT-large-L2	esim	BERT-base-L2	BLEU	YiSi-0	YiSi-1	COMET-HTER	BLEURT	COMET	COMET-2R	prism	sentBLEU	EED	TER	OpenKiwi-Bert	parchrf++	OpenKiwi-XLMR	CharacTER	COMET-MQM	chrF	chrF++	MEE	COMET-Rank	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03735777216439426	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03843141316414158	0.12	0.12	0.12	0.01745191586149813	0.037260235816751086	0.047408796823949564	0.12	0.012898246825594682	0.007853495338951022	0.006774460212740608	0.02256306817640877	0.010434663437477927
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.032044949064482	0.12	0.12	0.04799623386043056	0.0398667030506014	0.04919269520474735	0.011779494309589087	0.030500487902448803
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.006759155058202757	0.12	0.12	0.12	0.12	0.12	0.04511870634002592	0.023800711938104985
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04581874806370949	0.12	0.12	0.12	0.12	0.12	0.039094201546475804	0.044607011780485435
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015423746242538455	0.033673096984658056
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04751773750964805	0.12	0.12	0.12	0.12	0.12	0.12	0.03736343100222022
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015791301998306164	0.12	0.12	0.12	0.12	0.12	0.12	0.02608017054166227
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04737714273277058	0.12	0.12	0.12	0.12	0.12	0.12	0.03763322186153942
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.048539704145796655	0.12	0.12	0.12	0.029517796040986297	0.01915264578120446	0.010085482317907827	0.044930755340856735	0.0234843094288571
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03527368810775207	0.12	0.12	0.12	0.01524971930355188	0.01144199116363933	0.12	0.12	0.015060140145950878
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013940117799515381	0.12	0.12	0.12	0.12	0.12	0.04231377837474438	0.01883978937909801
