	Pearson	N	Winner
HUMAN_RAW	0.8474081339130805	9	True
mBERT-L2	0.8339107108504283	9	True
parbleu	0.82933980190016	9	True
paresim-1	0.8223198002456793	9	True
BLEURT-extended	0.8118572386572205	9	True
BERT-large-L2	0.8116326363597947	9	True
BLEU	0.8049004109355612	9	True
COMET-QE	0.8046278749406406	9	True
esim	0.8038664265917139	9	True
BERT-base-L2	0.80156930714048	9	True
YiSi-0	0.7937399996087432	9	True
sentBLEU	0.7876102775016127	9	True
YiSi-1	0.7806246176877932	9	True
BLEURT	0.779720413096881	9	False
COMET	0.771588647259729	9	False
COMET-2R	0.7708169244853522	9	False
prism	0.7703639729307081	9	True
COMET-HTER	0.7679800636817719	9	True
TER	0.7582327902183619	9	True
EED	0.7516812895093538	9	True
OpenKiwi-Bert	0.7409690079061702	9	True
COMET-Rank	0.7231508684151405	9	True
CharacTER	0.7128346312543506	9	True
MEE	0.7121437987508006	9	False
chrF++	0.7043771370178249	9	False
OpenKiwi-XLMR	0.7012338483495004	9	False
COMET-MQM	0.6850862211747227	9	True
parchrf++	0.6687523533391813	9	False
YiSi-2	0.40426518774056663	9	False
