	HUMAN_RAW	mBERT-L2	parbleu	paresim-1	BLEURT-extended	BERT-large-L2	BLEU	COMET-QE	esim	BERT-base-L2	YiSi-0	sentBLEU	YiSi-1	BLEURT	COMET	COMET-2R	prism	COMET-HTER	TER	EED	OpenKiwi-Bert	COMET-Rank	CharacTER	MEE	chrF++	OpenKiwi-XLMR	COMET-MQM	parchrf++	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.022582468438845843	0.048753163309297534	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.028431743445945522	0.01089151462608841	0.12	0.02576647777509929	0.019941727145209226
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04984419311130627	0.011063916570537036	0.029339695709114533	0.12	0.012113776445899256	0.012512018085820148
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.034177758163002114	0.12	0.0477526446226453	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00801708088614762	0.12	0.12	0.019691206653316327
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02434752313694764	0.12	0.12	0.036337538373179296
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02126423329920843	0.12	0.12	0.02906038144966897
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013777829360856267	0.12	0.12	0.014901576861201617	0.018508186488203376
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.033673096984658056
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02305307994166564	0.12	0.12	0.023597834628506908
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03783840728371389
