	Pearson	N	Winner
HUMAN_RAW	0.9975125792065329	10	True
COMET-QE	0.9736820551306754	10	False
BLEURT-extended	0.959939837847215	10	False
COMET-2R	0.9415051562299642	10	False
COMET	0.9262204145679763	10	False
COMET-HTER	0.9174749923130742	10	False
OpenKiwi-XLMR	0.910571062015946	10	False
COMET-MQM	0.9098575392291853	10	False
COMET-Rank	0.868153260507933	10	False
OpenKiwi-Bert	0.829812984599766	10	False
prism	0.804832916175676	10	False
mBERT-L2	0.7816268985448704	10	False
YiSi-1	0.6644769589445405	10	False
paresim-1	0.6348772478783558	10	False
esim	0.5751588272082796	10	False
parbleu	0.5428088790550616	10	False
MEE	0.49495586603275354	10	False
parchrf++	0.43796468951069284	10	False
sentBLEU	0.4358965753544924	10	False
BLEU	0.3903098450789513	10	False
YiSi-2	0.35255691855029003	10	False
chrF++	0.34883083905183093	10	False
TER	0.3394149567844041	10	False
chrF	0.3130524086208664	10	False
EED	0.2713270889167883	10	False
YiSi-0	0.26962082584751457	10	False
CharacTER	0.26881538460394117	10	False
