	Kendall	N
HUMAN_RAW	0.9999999999999998	12
COMET-MQM	0.909090909090909	12
OpenKiwi-XLMR	0.909090909090909	12
COMET	0.909090909090909	12
COMET-2R	0.909090909090909	12
COMET-HTER	0.909090909090909	12
BLEURT-extended	0.8787878787878787	12
COMET-Rank	0.8484848484848484	12
COMET-QE	0.8484848484848484	12
prism	0.8181818181818181	12
mBERT-L2	0.7878787878787877	12
OpenKiwi-Bert	0.7575757575757575	12
paresim-1	0.6666666666666666	12
YiSi-1	0.606060606060606	12
esim	0.606060606060606	12
MEE	0.5757575757575757	12
YiSi-0	0.5454545454545454	12
EED	0.5454545454545454	12
parchrf++	0.5151515151515151	12
sentBLEU	0.5151515151515151	12
TER	0.5151515151515151	12
BLEU	0.5151515151515151	12
CharacTER	0.5151515151515151	12
parbleu	0.5038314736557788	12
YiSi-2	0.4848484848484848	12
chrF	0.4848484848484848	12
chrF++	0.4848484848484848	12
