	HUMAN_RAW	COMET-QE	BLEURT-extended	COMET-2R	COMET	COMET-HTER	OpenKiwi-XLMR	COMET-MQM	COMET-Rank	OpenKiwi-Bert	prism	mBERT-L2	YiSi-1	paresim-1	esim	parbleu	MEE	parchrf++	sentBLEU	BLEU	YiSi-2	chrF++	TER	chrF	EED	YiSi-0	CharacTER
HUMAN_RAW	0.12	0.002079039911888224	0.0005188925061173117	0.00012518167540324639	6.90615573101681e-05	5.296836659172244e-05	4.6215622108356275e-05	3.9218023762455155e-05	2.2049037663162003e-05	2.2239577735847784e-05	2.9969361943117903e-05	3.156711773677967e-05	5.174376615579224e-05	6.372664824933254e-05	8.087222140703444e-05	8.320420814112986e-05	0.00010515383591553555	0.00012153054610138584	0.00011990438770148116	0.00013442717882994844	0.00014003723223353595	0.00015019233485607372	0.00015151721126815682	0.00016219657775851746	0.00017967618136556648	0.00018485571932281186	0.00017716792407174335
COMET-QE	0.12	0.12	0.12	0.025203154779660005	0.014577766245753085	0.0073926934883366624	0.01897567926433347	0.006874321297524847	0.0005924913674127559	0.00012833322372482058	0.0003151461053386617	0.0002778476886799976	0.00011920822714100123	0.00016234035890976396	0.00014348388851444273	5.265319203366841e-05	9.300920436635181e-05	7.338455608380405e-05	6.135106227138704e-05	6.310595539889364e-05	0.0005971134822757659	7.356138013205792e-05	7.791514650571354e-05	7.67524309937959e-05	9.083212964397768e-05	9.45561588548818e-05	8.270846265338379e-05
BLEURT-extended	0.12	0.12	0.12	0.12	0.02324938089783216	0.014686782260928321	0.12	0.014663883802779215	0.00036189724802588154	4.663266317970726e-05	7.99789589238106e-05	4.396253616444922e-05	1.8883688977375896e-05	4.7029317861064204e-05	3.712908437000742e-05	8.297592027124282e-06	1.813319471251356e-05	1.4295740195293538e-05	1.0697431217027151e-05	1.1781390413631245e-05	0.0014516640761987722	1.4746319775207925e-05	1.8489332474381517e-05	1.6165475742506413e-05	2.0808482220130788e-05	2.6390459320829316e-05	1.9715252447322456e-05
COMET-2R	0.12	0.12	0.12	0.12	0.030303190844892563	0.004703809213466972	0.12	0.003113108510388493	3.799449938375434e-05	0.003639969964970893	0.004287867674473338	0.00012644036133912072	0.0002523685371473845	0.0001013010298947784	6.829369323832706e-05	0.0001441997167338784	0.0001183295909046653	0.00010606861241877951	6.290435752205208e-05	6.741076914809085e-05	0.00268240443770396	6.584884646475782e-05	6.316265666541558e-05	6.484827321154658e-05	7.485556874381231e-05	0.00014906710153766504	5.5155123828707247e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02201548388145421	0.00042619876498598203	0.00981017188277507	0.01028636371898842	3.2935222776133745e-05	0.0003107920172635755	5.590170627518601e-05	3.350145261606889e-05	0.0001991846795324574	0.00012811578956188727	0.00012146909450605765	5.693953121423663e-05	6.58738732700985e-05	0.005486736957970105	6.0112407015944667e-05	5.22840050187635e-05	5.695978614571181e-05	6.078021882584971e-05	0.00015315271301838957	4.1541091874018803e-05
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.002255729662624886	0.02142544328740131	0.021335016214270763	0.00027366960165474755	0.0008206221085004187	0.00016101879635027207	0.00010389092701468441	0.00044071725738724187	0.00029562985370232194	0.0002575689380958872	0.00012726216779503422	0.00014047194925668018	0.006434441107173585	0.00012599941742132592	0.00010580478295243432	0.00011515990582516233	0.00011873331649743147	0.00027524713410261465	7.616300834198198e-05
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02325744174271905	0.01344650740656523	0.0045679344592445	0.0028154485321853343	0.006380889203748912	0.004380025434836416	0.003554943751372966	0.0024802377988347706	0.0023315518147041135	0.008922608808917399	0.0019480665188642986	0.001639022281521437	0.001687301237471358	0.0015069289902503646	0.0024335591968270547	0.0011346355753373667
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01421097906971428	0.04532879266459405	0.042512944441379374	0.0014081636543268447	0.0022162102969313187	0.0005019039825764394	0.0002815823772991382	0.0010179355341846377	0.0006830806023032898	0.0005617824597953846	0.0003015622829556922	0.00030846080484639584	0.00803383603109535	0.00026483170449453485	0.00022136851888112632	0.00023629573059093698	0.0002373479056536732	0.0005230082075657169	0.00016150304908503062
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008644577689545541	0.0030027612700404068	0.0012940787957702374	0.0006139058091280316	0.0008216575300030914	0.0006760606013256923	0.0004548740412127551	0.00019534558453128	0.00019047625567898726	0.01782091977837793	0.0001747100243384742	0.00014061586831879457	0.00015679274657783338	0.00018366039980909958	0.0004578621975094054	0.00011433155420868922
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.006231390814477373	0.012091544962581628	0.005619924106740263	0.0003731609180321264	0.0009685768819615727	0.000369583259583182	0.00013243918389425357	9.791305994070711e-05	0.040290319926483915	0.00013884966357524808	0.00011660089642626146	0.0001235762673144664	0.00014083441687887607	0.00016813800104108909	0.00011597933084747535
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0005746511735319321	0.014653534307370044	0.00548631290732059	1.6026063642603707e-07	1.537994770494595e-05	6.399593584067202e-07	2.7784351448371933e-06	4.702954847228092e-07	0.04553863679934033	1.1314484681475927e-06	4.370695692841527e-06	1.1660851637588083e-06	3.3871621519510193e-06	2.7947128404271313e-06	4.184936266078935e-06
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.016978494088431235	0.0009055629343331055	0.00021259505756776966	0.004856449933288283	0.0014323055462800586	0.0012101557800892149	0.0003458917411581096	0.0004088959637419495	0.12	0.00027029690880474007	0.000207299257780324	0.00020601373416329882	0.00015983797824401278	0.0007853483264014928	8.019324704339466e-05
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0037390302881654272	2.0777572981972844e-05	4.5395918648396456e-05	1.0743155714940081e-06	3.6624934096263785e-06	0.12	2.1770022548917656e-06	3.8136309080918655e-06	1.549907018413721e-06	1.4419615351328593e-06	8.442422428615203e-05	1.6650072728656123e-07
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00046620401031846566	0.12	0.03126805205317752	0.022316231489343287	0.008540890566829032	0.007554854005358143	0.12	0.003423840913319499	0.0016879874010498393	0.002058961974174255	0.0009423831592595126	0.005780624270157588	0.00029855544356057785
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.037927138195947736	0.02614899218968239	0.12	0.010832468607109473	0.005823686284811145	0.006101202364337082	0.0026292758285773113	0.01467008517667643	0.0010584044552566492
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0018195278111732434	0.0033082760826489512	7.377423177978653e-05	0.12	0.0001530082629735809	0.000671962568112528	9.549767915733294e-05	0.0003393406795460203	0.0005811195211131267	0.00048269451719926723
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017194495736770097	0.031081033304667362	0.0027593348332599086	0.12	6.730189430927475e-05	0.0005959910072757492	1.4044509219274945e-05	4.562898676950587e-06	0.0014937781318821726	1.0677478852113983e-05
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01819262298793873	0.12	0.00028185018029649897	0.010688523183593774	4.266745455943573e-05	0.00035602483671073957	0.0030934675334668925	0.0012682146638763072
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.006993975920676334	0.12	0.0015118824776701237	0.0009367842320106028	0.0004384136650128553	0.00066742193098298	0.012126617896359146	0.000303971616791076
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00946298046749859	0.03739096590039437	0.0014104800333054784	0.003600539604404107	0.02469771257105705	0.005707058990432621
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	5.565778555272921e-05	0.007008104192475494	0.12	0.01727531807870623
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.036114218596994256	0.12	0.019440252488219924
