	HUMAN_RAW	BLEURT-extended	COMET-QE	COMET-2R	COMET	COMET-HTER	COMET-MQM	OpenKiwi-XLMR	COMET-Rank	prism	mBERT-L2	YiSi-1	OpenKiwi-Bert	paresim-1	esim	MEE	parbleu	parchrf++	sentBLEU	chrF++	chrF	BLEU	EED	TER	CharacTER	YiSi-0	YiSi-2
HUMAN_RAW	0.12	0.0003194205980298813	0.001032223578001474	1.446291012126023e-05	5.628945953166517e-06	6.608655765091547e-06	5.019989673719569e-06	4.828806992385787e-06	2.5306442472440756e-06	1.1039400017405974e-06	4.5476148905137406e-07	2.3609263826097784e-07	9.822095371447608e-07	1.6289466146276302e-07	1.5304458774503593e-07	3.0486752912231207e-07	4.0540052092586434e-07	3.256473618427157e-07	4.846702680002982e-07	4.368346089764161e-07	4.603504915998262e-07	5.728804148901922e-07	5.051606010872143e-07	6.043318923925597e-07	5.942832342133612e-07	7.686742493858519e-07	2.7527420335350206e-06
BLEURT-extended	0.12	0.12	0.12	0.12	0.009155736768543967	0.00421250043385606	0.003831180752842142	0.01831182777352566	0.0002535293765963638	7.896590791509449e-06	7.903098192771417e-06	1.4865571520649398e-06	0.00012992515412287752	1.940525950583593e-05	1.1995619590791821e-05	3.422719590360191e-07	1.0282906872223877e-07	1.9345974063885999e-07	9.093836725648402e-08	1.414312635493845e-07	1.6961665530597813e-07	8.320054667441076e-08	3.416436030064033e-07	1.6041409101852994e-07	2.2265718887459341e-07	3.9757018266036425e-07	4.471057590735561e-05
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.010126041949638388	0.006618061058607577	0.009751158079124533	0.002653041021709639	0.0005360020349046792	0.003454872177266143	0.002274559741634977	0.00047851097311841226	0.00019798029828030464	0.0003256869590434402	0.00013510422065295027	0.00019193550004384838	0.00018621517783239697	0.00010766800724369238	0.00019021975346877648	0.00011666763334213615	0.0001427096009719101	0.00011928922197357211	7.313452240096921e-05
COMET-2R	0.12	0.12	0.12	0.12	0.030946787249600618	0.035855734948014535	0.03549986766790821	0.12	0.013871971326160115	0.004163018752259228	5.524028255091501e-05	4.095929244638473e-05	0.0043485634119903895	9.804162088571948e-06	5.412990402051773e-06	1.142337518650068e-05	3.331929972991934e-05	7.636267770122914e-06	5.794911523100529e-06	2.7607093618066228e-06	2.1919063568747846e-06	4.915038361384705e-06	2.0926577402733425e-06	3.0016299270473424e-06	1.4097064415063832e-06	6.084807668657967e-06	0.00015501830840974039
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03299893738671766	0.011804595979647396	5.517813495714725e-06	8.89889804539225e-05	0.007578675614628225	1.7357167199841232e-05	9.613345645132322e-06	1.552757343281344e-05	6.259361728452563e-05	1.0600469612272216e-05	1.0733468587046829e-05	3.19584340099612e-06	2.5045222020365035e-06	7.16613449681425e-06	3.75121691967158e-06	3.7149285613271156e-06	2.000927134267844e-06	1.370892104457791e-05	0.0003402685745341354
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.021589344038590884	0.014492229854346362	4.267461025614836e-05	0.0003003724625714333	0.006232017846191327	0.00021478210044075188	0.00012535273083271077	3.623248003232284e-05	7.002716115211116e-05	2.530235271361292e-05	1.5432806967153395e-05	8.313713258987835e-06	7.485086717205184e-06	1.0408548431365631e-05	1.344179085008379e-05	6.5091175419487574e-06	5.525476572711241e-06	3.170240915063784e-05	0.00034522699070729893
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.028505992637906406	0.034390717118613544	0.0010354401284828393	0.0017949324814595406	0.007365269363242291	0.0015822006552028219	0.0008666302862937554	0.0001663820576314872	0.00020519348429253896	0.00011037167270011468	6.021566995045812e-05	3.783108036864065e-05	3.5121878718402815e-05	3.690138209776761e-05	6.317648842243544e-05	2.540347118945773e-05	2.8118481236759353e-05	0.00011102442293339566	0.0004588020092487706
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02543490711324186	0.014406015744178973	0.01798172717859638	0.008467708712588153	0.005043367219438203	0.002007327876335249	0.0022885648327161806	0.0013409374410320973	0.000826609651014378	0.0005511947295154891	0.00047359714198076013	0.0005469191958550204	0.0005729816301440105	0.00037093501951303894	0.0003271885395355615	0.0007358559163573969	0.0006107995562379601
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04193764882832186	0.010270112653523714	0.12	0.03844541511437207	0.0027915683765790257	0.0007830367836674203	0.0016529555716913032	0.0004454653698299666	0.0006224650701028618	0.00065638655815687	0.0002294669889700405	0.0011808363897108422	0.00024828536132460327	0.0005332360785985007	0.0009863899949407906	0.0017519896241611082
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019501770148912814	0.12	0.12	0.12	5.9513978482545894e-05	2.7368102143791906e-09	1.3580397929195375e-05	1.234260796684673e-06	7.019876242023246e-06	1.247732237889808e-05	7.95272592251675e-08	6.647030944273636e-05	1.5244911118735212e-06	1.8349731063071215e-05	1.7002521587856535e-05	0.004445758546001936
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.016491829191867115	0.12	0.016498294028976616	0.005261518246778195	0.00032450233805969694	0.001934019336704818	0.00021106781554545862	0.00015454862838283737	3.071855228487978e-05	2.292298598384945e-05	7.884843023304963e-05	5.086417374465075e-05	2.918797839634196e-05	1.4453043833804122e-05	0.00020184209263433335	0.007209756283989771
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.2434823321071975e-05	0.005561916315405905	7.77740994755369e-06	4.095609978034006e-05	1.1841414106237447e-07	3.586955776612581e-08	1.3931486293355532e-05	3.128516482101045e-07	1.2680378928714004e-06	5.044122711293556e-09	1.2780861105076341e-05	0.023446458412548745
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04939887078763163	0.03269782204178589	0.12	0.031085018369510494	0.03903656805057808	0.03626679636874753	0.02106752990993261
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00013819071195155633	0.026511472902263918	0.12	0.012965744585178586	0.009878992485479722	0.0019284641727287581	0.0008784814295281426	0.005739253472461243	0.00025189102659938824	0.001679040564712855	0.00017247831720401669	0.0014482600802691642	0.029726103353388378
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.037111197111320667	0.024722930529206735	0.005819081497450158	0.0027183859500651887	0.014166570705204225	0.0007261343678997481	0.0045812960509590914	0.0005668596884593853	0.003426358860472271	0.04411991215957575
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.009291114688939854	0.012850076540609368	9.457315178698191e-06	2.0181731411644983e-05	0.0007790868625117373	0.001297672755023594	6.370448964560177e-05	6.70267265987372e-05	0.0017910114291372424	0.12
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01733338729634712	0.038579000938478256	0.03543812237952765	0.0004152487907467997	0.12	0.0038326025456998543	0.02004198868646809	0.014222753515758692	0.12
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	4.418025362502628e-05	8.825035010842712e-05	0.008061596369548403	0.010500535176388496	0.001657794712648121	0.0017368039283681778	0.005900081086303815	0.12
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01926240981662528	0.12	0.009114026348230502	0.04951636068302192	0.04624880555145448	0.12
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.028464980887167143	0.12	0.12	0.12	0.02902150469023321	0.12	0.12
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
