	Pearson	N	Winner
HUMAN_RAW	0.9315186550405237	11	True
esim	0.8939532162779288	11	True
YiSi-0	0.8891894036699275	11	True
YiSi-1	0.8869274417426898	11	True
paresim-1	0.8862125207274852	11	True
BLEURT-extended	0.8704927446655466	11	True
COMET-2R	0.8689648796908047	11	True
EED	0.8689352630614009	11	True
CharacTER	0.8682817402083653	11	True
bleurt-Yisi-combi	0.8682792738101465	11	False
Yisi-combi	0.8682792738101465	11	False
COMET	0.8628757116235153	11	True
chrF	0.8615236014814989	11	True
mBERT-L2	0.8610137865594383	11	True
COMET-Rank	0.8597815983995578	11	True
COMET-HTER	0.8519351335297234	11	True
prism	0.8508955906544492	11	True
chrF++	0.8498320995819537	11	True
TER	0.8477784432614794	11	True
parchrf++	0.8445487277848431	11	True
COMET-MQM	0.8398804905866422	11	False
COMET-QE	0.8308987583902265	11	False
OpenKiwi-Bert	0.8290078588778798	11	True
BLEU	0.8247221105872489	11	False
sentBLEU	0.8233823384487936	11	False
MEE	0.820430795399179	11	False
OpenKiwi-XLMR	0.8136378571687111	11	False
parbleu	0.7740151755591574	11	False
YiSi-2	0.5522056404767133	11	False
