	HUMAN_RAW	esim	YiSi-0	YiSi-1	paresim-1	BLEURT-extended	COMET-2R	EED	CharacTER	Yisi-combi	bleurt-Yisi-combi	COMET	chrF	mBERT-L2	COMET-Rank	COMET-HTER	prism	chrF++	TER	parchrf++	COMET-MQM	COMET-QE	OpenKiwi-Bert	BLEU	sentBLEU	MEE	OpenKiwi-XLMR	parbleu	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04965466319571542	0.008986336596602668
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04589061774230798	0.02482090467431317	0.019074591143547686
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03841863519977587	0.0051270640847088725
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04083135618885899	0.047624437030195	0.03649049865064327	0.12	0.019157537111458314	0.008108114229577525
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.032857039928452667	0.03379714416251872	0.026288017007888312
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.023740615792035832	0.12	0.03453625697990181
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04981992643203631	0.12	0.12	0.12	0.12	0.12	0.12	0.041616178578330644	0.031130322930989142
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.030094586212207067	0.0374046378574897	0.022479509848668363	0.12	0.02305165731587001	0.01361153390750182
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013817547416813777
Yisi-combi	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0232801225440333	0.021650533291082977	0.12	0.007359410156813599	0.020159276102415885
bleurt-Yisi-combi	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0232801225440333	0.021650533291082977	0.12	0.007359410156813599	0.020159276102415885
