	HUMAN_RAW	esim	paresim-1	COMET	COMET-2R	bleurt-Yisi-combi	Yisi-combi	YiSi-1	mBERT-L2	BLEURT-extended	OpenKiwi-XLMR	EED	chrF	CharacTER	prism	chrF++	parchrf++	MEE	YiSi-0	COMET-HTER	TER	sentBLEU	BLEU	parbleu	COMET-QE	YiSi-2	COMET-MQM	COMET-Rank	OpenKiwi-Bert
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.049531116209840104	0.12	0.12	0.04626121120377003	0.04327786300101808	0.02785752007016999	0.039204481171871974	0.011330696064697091	0.012791164155584024	0.00875749413444602	0.004122016772859116	0.003565877737494341	0.0021903274168066397	0.001876767771438359	0.0015930459946298455	0.000886187810254016
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.029699870767530032	0.03651143997955071	0.01950851218014474	0.009092455547387175	0.12	0.014707815496249279	0.02829254519835947	0.0019493437626740499	0.0011983043918712569	0.00037334305366324046	0.00026829463514496595	0.005641443005856294	0.0003712326041253441	0.00022908617866549026	0.0006176683543582714
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04200050349208489	0.12	0.018095865804990993	0.12	0.006610420441017975	0.004475613973442519	0.0009805294557507453	0.00016128821617760887	0.014887384658088173	0.00024433853670456055	0.00015859966958335108	0.0006452760743410408
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.030260784876877986	0.01968778875482658	0.01672726725611447	0.002658466838470809	0.0034293057169866225	0.01557801328793663	0.007088936804410022	0.005485830721799704	0.004610177352810942
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04220488043799721	0.04372380980180903	0.031621216576630536	0.011034262971245736	0.012684933618894518	0.006540070908911638	0.012265569928789948	0.0100172443179985	0.00738355816116086
bleurt-Yisi-combi	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0331791089915432	0.0024045771284272282	0.12	0.12	0.021617028649446722	0.0002925367119137294	0.00037691436376604865	4.878778535330198e-05	0.0019771702320896174	0.017672292444445282	0.004653418379455792	0.0029472943074458353	0.003629634874689077
Yisi-combi	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0331791089915432	0.0024045771284272282	0.12	0.12	0.021617028649446722	0.0002925367119137294	0.00037691436376604865	4.878778535330198e-05	0.0019771702320896174	0.017672292444445282	0.004653418379455792	0.0029472943074458353	0.003629634874689077
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02018863573585726	0.12	0.04034302958280684	0.12	0.0165985045670916	0.010985465016536545	0.004769879577160826	0.0026411428713359613	0.006322609469115984	0.010000524926301567	0.009251739535202455	0.006043426663664028	0.006507406929970644
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.016253438442346876	0.12	0.033237845802802264	0.03107650848395037	0.004570635020120831	0.0007900874673361569	0.030723800434569952	0.001396264837835734	0.0017147692628582821	0.0005365039928016398
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01815276537833838	0.018138664222069566	0.0016853449771321977	0.0012521952075858237	0.03090289712064426	0.005313705640387498	0.004148085766498963	0.003074103779379942
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04203346091606964	0.03953897579429952	0.00491827189482282	0.0032573495965575916	0.03365097643308072	0.005383223580617684	0.00553031493834661	0.00369512609814595
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0040002263020018376	0.043754003973726974	0.02839770088420947	0.011014925873611942	0.029625073055664836	0.029485367949510843	0.026710155848929034	0.020906485860241027	0.015300657973266924
