	Pearson	N	Winner
HUMAN_RAW	0.9315186550405237	11	True
esim	0.8999799274323841	11	True
paresim-1	0.8973946384684555	11	True
CharacTER	0.8891153639748144	11	True
YiSi-1	0.8860200764838111	11	True
YiSi-0	0.8823585053573159	11	True
chrF	0.8736552121234702	11	True
bleurt-Yisi-combi	0.8725222743325372	11	False
Yisi-combi	0.8725222743325372	11	False
EED	0.8713636865990471	11	True
BLEURT-extended	0.8698181508373415	11	True
COMET-2R	0.8691065408727258	11	True
chrF++	0.8657647177727722	11	True
COMET	0.8644344510558105	11	True
parchrf++	0.8629798414512055	11	True
mBERT-L2	0.8624097573449122	11	True
TER	0.8595092611584804	11	True
COMET-HTER	0.8548637913431473	11	True
prism	0.8543691044065	11	True
COMET-MQM	0.8441249432186498	11	False
BLEU	0.8440483744111777	11	False
COMET-Rank	0.8385779159485393	11	False
sentBLEU	0.8374958721335318	11	False
MEE	0.8326893394254479	11	False
COMET-QE	0.8308987583902265	11	False
OpenKiwi-Bert	0.8290078588778798	11	True
OpenKiwi-XLMR	0.8136378571687111	11	False
parbleu	0.7960577688109555	11	False
YiSi-2	0.5522056404767133	11	False
