	Pearson	N	Winner
HUMAN_RAW	0.9315186550405237	11	True
esim	0.8978962068848777	11	True
paresim-1	0.890419010312826	11	True
YiSi-0	0.8860085085261764	11	True
YiSi-1	0.8853236563617272	11	True
CharacTER	0.877656047974889	11	True
bleurt-Yisi-combi	0.8761079588774356	11	True
Yisi-combi	0.8756597992793507	11	True
COMET-2R	0.8754782319670402	11	True
EED	0.8673902065264982	11	True
BLEURT-extended	0.8668500469130235	11	True
mBERT-L2	0.8646727649126009	11	True
COMET	0.8637164018971714	11	True
chrF++	0.857727281739195	11	True
parchrf++	0.855714026063929	11	True
COMET-HTER	0.8534661945315632	11	True
TER	0.852210741875492	11	True
COMET-Rank	0.851905435761236	11	True
prism	0.8508955906544492	11	True
COMET-MQM	0.8420599022309508	11	False
COMET-QE	0.8308987583902265	11	False
OpenKiwi-Bert	0.8290078588778798	11	True
sentBLEU	0.8265450651986245	11	True
BLEU	0.8215250109155795	11	False
MEE	0.820430795399179	11	True
OpenKiwi-XLMR	0.8136378571687111	11	False
parbleu	0.7937826986129216	11	False
YiSi-2	0.5522056404767133	11	False
