	Pearson	N	Winner
HUMAN_RAW	0.9315186550405237	11	True
YiSi-1	0.8879052453828579	11	True
esim	0.886868664515144	11	True
chrF	0.8834573928449941	11	True
paresim-1	0.8782725619508295	11	True
bleurt-Yisi-combi	0.876466931538297	11	False
Yisi-combi	0.876466931538297	11	False
chrF++	0.8763343476427584	11	True
YiSi-0	0.8725918690524865	11	True
EED	0.8668266404652823	11	True
COMET-2R	0.8659700349194933	11	True
parchrf++	0.8645729198784442	11	True
BLEURT-extended	0.860086522772864	11	True
TER	0.8593849780332303	11	True
COMET	0.8582554356087557	11	True
COMET-HTER	0.8483426567356555	11	True
mBERT-L2	0.8414609574164816	11	False
prism	0.8387044920318206	11	True
COMET-MQM	0.8355070607441353	11	False
CharacTER	0.8352590103224943	11	True
COMET-Rank	0.83144680929165	11	True
COMET-QE	0.8308987583902265	11	False
BLEU	0.8300530844210828	11	False
MEE	0.8300390472171632	11	False
OpenKiwi-Bert	0.8290078588778798	11	True
sentBLEU	0.8152286667926242	11	False
OpenKiwi-XLMR	0.8136378571687111	11	False
parbleu	0.7244835350530677	11	False
YiSi-2	0.5522056404767133	11	False
