	Kendall	N
bleurt-Yisi-combi	0.8901098901098902	14
chrF	0.8901098901098902	14
Yisi-combi	0.8901098901098902	14
YiSi-1	0.8901098901098902	14
COMET-2R	0.8901098901098902	14
HUMAN_RAW	0.8681318681318682	14
COMET-Rank	0.8681318681318682	14
parchrf++	0.8681318681318682	14
COMET	0.8681318681318682	14
EED	0.8681318681318682	14
chrF++	0.8681318681318682	14
prism	0.8461538461538461	14
CharacTER	0.8461538461538461	14
TER	0.8461538461538461	14
YiSi-0	0.8241758241758242	14
COMET-MQM	0.8021978021978022	14
paresim-1	0.8021978021978022	14
mBERT-L2	0.8021978021978022	14
esim	0.8021978021978022	14
COMET-QE	0.8021978021978022	14
MEE	0.8021978021978022	14
BLEU	0.8021978021978022	14
COMET-HTER	0.8021978021978022	14
BLEURT-extended	0.8021978021978022	14
sentBLEU	0.7802197802197802	14
OpenKiwi-XLMR	0.7802197802197802	14
OpenKiwi-Bert	0.7802197802197802	14
parbleu	0.6408937593274027	14
YiSi-2	0.5824175824175825	14
