	HUMAN_RAW	YiSi-1	esim	chrF	paresim-1	bleurt-Yisi-combi	Yisi-combi	chrF++	YiSi-0	EED	COMET-2R	parchrf++	BLEURT-extended	TER	COMET	COMET-HTER	mBERT-L2	prism	COMET-MQM	CharacTER	COMET-Rank	COMET-QE	BLEU	MEE	OpenKiwi-Bert	sentBLEU	OpenKiwi-XLMR	parbleu	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02983640873342589	0.008986336596602668
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.029190422287179277	0.014548108355103275	0.12	0.035137929195166694	0.12	0.008990817384917128	0.01783044651961889
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.027292581087968767	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.042742314154629715	0.02921073369187435	0.034492036430940155
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04164788614613964	0.00894240850968418
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.042216104418457474	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03970459159715743	0.043395496858565225
bleurt-Yisi-combi	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04837611545358846	0.12	0.04670654234055425	0.12	0.008667680590347308	0.033109457264801155
Yisi-combi	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04837611545358846	0.12	0.04670654234055425	0.12	0.008667680590347308	0.033109457264801155
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.035401979325209366	0.01042410277963332
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019194592116719943
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004366589332646424	0.12	0.0013968475777291264	0.02883539316490174
