	Pearson	N	Winner
COMET-QE	0.5784787009098442	8	True
parbleu	0.4638383581835913	8	True
HUMAN_RAW	0.3709471554291369	8	True
esim	0.3652170503311122	8	True
paresim-1	0.3652170503311122	8	True
COMET-HTER	0.14206939525177947	8	False
TER	0.13276094907791	8	True
BLEU	0.13147628211875279	8	False
COMET-MQM	0.12880368022162106	8	False
chrF++	0.12831667699412522	8	False
chrF	0.1224908750834372	8	True
BLEURT-extended	0.12220270466019756	8	True
COMET-Rank	0.09854261955893051	8	False
MEE	0.09361517719334884	8	False
sentBLEU	0.04699596513833728	8	False
EED	0.0426469786300362	8	False
COMET	0.02817657845109737	8	False
YiSi-0	0.014734512976091046	8	False
CharacTER	0.007756477552451103	8	False
COMET-2R	-0.008094178041526316	8	False
prism	-0.043330952661202314	8	True
YiSi-1	-0.21664153869266986	8	False
YiSi-2	-0.2573505082035617	8	True
OpenKiwi-Bert	-0.601506167078521	8	False
OpenKiwi-XLMR	-0.6677541542291568	8	False
