	Kendall	N
HUMAN_RAW	0.6000000000000001	11
COMET-QE	0.6000000000000001	11
COMET-MQM	0.5272727272727272	11
COMET-HTER	0.4909090909090909	11
prism	0.41818181818181815	11
parbleu	0.40368671387966554	11
COMET	0.38181818181818183	11
BLEURT-extended	0.38181818181818183	11
paresim-1	0.38181818181818183	11
esim	0.38181818181818183	11
chrF	0.34545454545454546	11
COMET-2R	0.3090909090909091	11
chrF++	0.3090909090909091	11
TER	0.3090909090909091	11
YiSi-2	0.3090909090909091	11
MEE	0.2727272727272727	11
EED	0.2727272727272727	11
YiSi-0	0.23636363636363636	11
CharacTER	0.23636363636363636	11
BLEU	0.23636363636363636	11
sentBLEU	0.23636363636363636	11
COMET-Rank	0.1272727272727273	11
YiSi-1	0.0909090909090909	11
OpenKiwi-XLMR	0.018181818181818184	11
OpenKiwi-Bert	-0.2727272727272727	11
