	COMET-QE	parbleu	HUMAN_RAW	esim	paresim-1	COMET-HTER	TER	BLEU	COMET-MQM	chrF++	chrF	BLEURT-extended	COMET-Rank	MEE	sentBLEU	EED	COMET	YiSi-0	CharacTER	COMET-2R	prism	YiSi-1	YiSi-2	OpenKiwi-Bert	OpenKiwi-XLMR
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.027393532075170757	0.0005945394013795435
parbleu	0.12	0.12	0.12	0.12	0.12	0.017098906870222735	0.12	0.033086489396705374	0.04616712862894452	0.04681842481281855	0.12	0.12	0.024926279805218603	0.03982110436957621	0.010390662707023542	0.019088887336131677	0.01636191412610172	0.03439944034876065	0.021022467300670172	0.001464619847738683	0.12	0.003702897873636471	0.12	0.04051144623340399	0.019591088272321
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.042742936880356935	0.12
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019938223847702125	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008076864738078041	0.12	0.03528052666558881	0.12	0.12	0.016622446855817218	0.12	0.12	0.12
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019938223847702125	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008076864738078041	0.12	0.03528052666558881	0.12	0.12	0.016622446855817218	0.12	0.12	0.12
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.047064526828681646	0.12	0.12	0.12
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.020696123157483197	0.12	0.12	0.12
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.003187974951273273	0.12	0.12	0.12
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0025360924810971363	0.12	0.12	0.12
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02860768611450834	0.12	0.12	0.12
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0006731699202463621	0.12	0.12	0.12
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017193203951808417	0.12	0.12	0.12
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00024668504531930686	0.12	0.12	0.12
