	prism	HUMAN_RAW	COMET-QE	COMET-HTER	COMET-MQM	COMET	COMET-2R	BLEURT-extended	paresim-1	esim	YiSi-2	OpenKiwi-Bert	YiSi-1	YiSi-0	EED	OpenKiwi-XLMR	CharacTER	TER	chrF	chrF++	MEE	COMET-Rank	parbleu	BLEU	sentBLEU
prism	0.12	0.12	0.12	0.12	0.04672211848551924	0.03312294163339495	0.02422730354564313	0.02323485897461846	0.02268907134673896	0.02268907134673896	0.01897276437457189	0.0005874762629109877	0.0011616781942561623	0.0017351881021616796	0.0015744701273588055	0.00031651849146389606	0.0012422533285563245	0.001125066730602893	0.0010817788420204102	0.001076701496179577	0.0009305493361019989	0.0007716930827134406	0.0010054261623356478	0.0009064179100375767	0.0007815062692532323
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.036979867691699544	0.035438599659490796	0.035438599659490796	0.027980900814368524	0.0008515302761458709	0.00435141420252253	0.0036303644760304525	0.0035423462457089662	0.0015269480579975867	0.004435684190378131	0.0022044402623405592	0.0025379200526410204	0.0022657117605507904	0.0015370899343155702	0.0017167698928259774	0.0008138662812566506	0.0007883209878041258	0.0006249674522846621
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.016186589345419992	0.013958681557548053	0.01114050109468075	0.008750326623542241	0.005863787442473636	0.014730242882757979	0.0013378349794643898	0.004183633251709361	0.003283096970372358	0.0020705322777702156	0.0018940938257247155	0.0008383932056576532	0.0008763070942879536	0.0007180971384324658
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.005147938880957554	0.03630427278409657	0.040846946142191004	0.040846946142191004	0.12	0.016053510965661866	8.735981941442013e-06	5.389657705908361e-05	3.350510181219292e-05	0.004514438817474845	1.670877790950642e-05	7.961398259217027e-05	1.4451180572066234e-05	1.476820648727917e-05	3.1409810803286216e-05	2.4375416652313345e-05	0.00015892384351332562	7.982183212771199e-05	8.091908319239854e-05
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03691073321583695	0.00039239563742210005	0.0007899901580544399	0.0006003632519912305	0.022253352334866285	0.00012686999875234574	0.0005645528717581523	0.00010860541210482486	0.00012524115379637752	0.00021382598017673324	0.00023100707423282134	0.000759482661358657	0.00047577272433203257	0.0004826445645226343
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02993070364643276	5.9188819176156585e-05	0.0003073352552067129	0.00020260924323883969	0.01977571448798452	0.00023381037611113628	0.0002931395166313735	8.946818444956778e-05	9.291895259142955e-05	8.926801512844749e-05	0.00019824232383929222	0.0004790521375626049	0.00025207415583947205	0.00023360974313712724
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04068714457903032	2.3998168841192e-05	0.00020514662411383246	0.00012265991205288534	0.01141327629310431	0.00019462731869426768	0.0004326391053879416	9.367795960603257e-05	7.47225999047521e-05	6.742813665966928e-05	5.963965435743566e-05	0.0003126074962603225	0.00013717884313818517	0.0001163632913325917
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	7.059880296548608e-05	2.1571933362330974e-05	7.088794000631594e-05	0.12	0.0007094176315347821	0.0005854015423450912	2.6815759201320758e-05	3.724740494371089e-05	1.4063713305821738e-05	0.0007486507236222314	0.00042258118752501185	0.0001509129928788688	0.00013511059251180874
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.007045048558712638	0.0032355893537151146	0.0020898575144705045	0.12	0.00178566794988537	0.0012283743165279605	0.00027282052663469924	0.00025230813408603863	0.00021746043043017883	0.0003399388184392729	0.0005636169897846968	0.0005156738882246566	0.0005190933212580927
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.007045048558712638	0.0032355893537151146	0.0020898575144705045	0.12	0.00178566794988537	0.0012283743165279605	0.00027282052663469924	0.00025230813408603863	0.00021746043043017883	0.0003399388184392729	0.0005636169897846968	0.0005156738882246566	0.0005190933212580927
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04396990649319554	0.040549917112681653	0.032901264838011715	0.03274360326234802	0.029065646047313758	0.023778142021592258	0.02126505930695679
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019258004878666416	0.015427104059595059	0.008442121187107242	0.04156755469686875	0.03308947414813442	0.013928060880148483	0.011243868133777635
