	Pearson	N	Winner
COMET-QE	0.6508822718581302	8	True
paresim-1	0.41761981703765955	8	False
esim	0.41761981703765955	8	False
HUMAN_RAW	0.3709471554291369	8	True
parbleu	0.30573409929578427	8	True
COMET-Rank	0.2518850830953811	8	True
OpenKiwi-Bert	0.1938878647024356	8	True
COMET-2R	0.17680789471809227	8	True
COMET-MQM	0.17219575812841145	8	False
sentBLEU	0.1720566666787729	8	True
BLEURT-extended	0.15504743015757108	8	True
COMET	0.1520945588975181	8	False
EED	0.12226988965347667	8	True
CharacTER	0.12121064290399684	8	True
MEE	0.11266418062260353	8	True
BLEU	0.11053389479089046	8	True
chrF++	0.09837982594228255	8	True
YiSi-0	0.09508126579262695	8	True
COMET-HTER	0.09233563898978873	8	False
chrF	0.09092090165036554	8	True
prism	0.08796499319277544	8	True
TER	0.08326905946402592	8	True
YiSi-2	0.06519898886175444	8	True
YiSi-1	-0.014069942331610259	8	False
OpenKiwi-XLMR	-0.35837706642931205	8	False
