	Kendall	N
COMET-QE	0.6727272727272727	11
HUMAN_RAW	0.6000000000000001	11
prism	0.6000000000000001	11
COMET-HTER	0.4909090909090909	11
paresim-1	0.45454545454545453	11
COMET-MQM	0.45454545454545453	11
esim	0.45454545454545453	11
YiSi-2	0.45454545454545453	11
COMET-2R	0.41818181818181815	11
COMET	0.38181818181818183	11
MEE	0.38181818181818183	11
YiSi-0	0.34545454545454546	11
BLEURT-extended	0.34545454545454546	11
parbleu	0.34545454545454546	11
COMET-Rank	0.34545454545454546	11
CharacTER	0.34545454545454546	11
chrF++	0.3090909090909091	11
chrF	0.3090909090909091	11
TER	0.3090909090909091	11
YiSi-1	0.2727272727272727	11
sentBLEU	0.2727272727272727	11
EED	0.2727272727272727	11
BLEU	0.23636363636363636	11
OpenKiwi-XLMR	0.2	11
OpenKiwi-Bert	0.2	11
