	HUMAN_RAW	prism	COMET-QE	COMET-HTER	COMET-MQM	COMET-2R	COMET	YiSi-2	OpenKiwi-Bert	BLEURT-extended	paresim-1	esim	OpenKiwi-XLMR	YiSi-1	CharacTER	YiSi-0	EED	COMET-Rank	TER	chrF	chrF++	MEE	parbleu	sentBLEU	BLEU
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04034648654464254	0.025570844039535846	0.019223168099521258	0.020126836107571343	0.020126836107571343	0.006470375035915941	0.004926232081516667	0.005267229082292614	0.004165847103782321	0.003852666909012603	0.0029010329529290993	0.0025125690437996064	0.002854115729689503	0.002642221607953062	0.0018548115117158538	0.0007304275212634744	0.0007792306227586978	0.0008666383896379893
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.020425713966125362	0.014390120244695697	0.016161814715063342	0.016161814715063342	0.0004810615810190387	0.0013297822213875433	0.001626764642429	0.001450167628995543	0.001049520702391891	0.0006164213967763724	0.0005046304567930416	0.00075433071540495	0.0006708941285319693	0.0005207970217300942	0.0002396711840547398	0.0002167717592619522	0.00023659230023096578
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04785023343379561	0.044831589619432316	0.03917088961266784	0.03917088961266784	0.012507281893330911	0.00651264202756793	0.0075823845143562375	0.00544359761049554	0.003929439553613911	0.0026843230738666604	0.0009189064617404882	0.0023296794610734315	0.002028239014325458	0.0011704045167095552	0.0004789572063131343	0.0004146126020772755	0.00043426000734269823
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014111187132237298	0.03367217104277896	0.03367217104277896	0.032083891774137	1.5520967104587087e-05	6.995611529796359e-05	9.484011068093234e-05	6.951405449565889e-05	0.00016546606705036224	7.96541417160531e-05	3.4243124786344585e-05	2.3410298293766892e-05	3.7372284678884226e-05	0.0001591145433546857	7.530250699934595e-05	5.177879352296443e-05
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.018960788988432377	0.019533349224603404	0.019533349224603404	0.12	1.2957956724530023e-05	2.2974777464834035e-05	9.589937403284366e-05	6.17955509015386e-05	0.00032293086019243413	3.631933767631466e-05	1.1359579239856672e-05	1.0754886446568315e-05	2.5078185133025307e-05	0.0003378683131275748	0.0001477932812289408	9.245501290491482e-05
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03079411048344582	0.12	0.12	0.12	2.542066006189796e-05	4.538773145907733e-05	0.00010567850578671239	5.907887788439502e-05	0.00011421855380913754	0.00013192441539034452	3.201849329689517e-05	1.8402366374473183e-05	3.129692219555934e-05	0.00015795118807824697	7.309910040746388e-05	4.9106498107477215e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00970564704083989	0.035161611175453286	0.035161611175453286	0.12	7.5203608569089726e-06	5.5347123672298975e-05	2.486278710776327e-05	1.5728650221727548e-05	0.0002949734870084127	1.2036873648138277e-05	6.413603105643646e-06	4.681785738539114e-06	6.3729004731167e-06	0.00014362686349710425	5.480370121772284e-05	3.062119334799021e-05
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01451962665688646	0.01638815835228195	0.011619058012490076	0.01387142545640492	0.009593925914343946	0.010431742638880765	0.004302727302156929	0.003554881276078509	0.002286094695987272	0.002400476778233013	0.0016405468665524115	0.0013936698772015743
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04096059630756644	0.031154640071957375	0.04238726050846164	0.038359049754512986	0.025103187146137067	0.010981932680602177	0.009682437555861428	0.010268757660346522
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0003879427692527723	0.0021292371398984903	7.566115235188896e-06	0.00018318727848963534	0.008880070111048868	0.0006586127670528973	5.7437444698206614e-06	1.8562997240593905e-05	6.957545319121284e-06	0.0007630001282366389	0.0003319475300569551	0.000180993265657575
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.015456394277268038	0.009183800939845145	0.010835587688546436	0.005216952053581337	0.002148929120078409	0.0009299697891877619	0.0009396874695608659	0.0007077156138282138	0.00034560312060211764	0.0011619653292103396	0.0005931450481743177	0.00043963139431009874
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.015456394277268038	0.009183800939845145	0.010835587688546436	0.005216952053581337	0.002148929120078409	0.0009299697891877619	0.0009396874695608659	0.0007077156138282138	0.00034560312060211764	0.0011619653292103396	0.0005931450481743177	0.00043963139431009874
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03565317686897317	0.02653625275907084	0.027441886587603864
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0011345391944510832	0.0015573071217109859	0.003840981799933271	0.033037456727960435	0.015139943192181635	0.009768624903565093
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0038370882002286316	0.0024499675710129387	0.008260432219469899	0.03927336584680664	0.0190189652542694	0.013323090433703404
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00020635714298251936	0.0003308593320314183	0.0002856370024833117	0.02195558305497875	0.008848902808720386	0.005056505637135847
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04441517642849392	0.005362594877258673	0.00012979615628364922	2.787717886811503e-05	0.015714524261399947	0.004561160345724421	0.0020046665447619513
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0359181283452713	0.012037126002821306	0.01012670090992567
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02014771645808214	0.010613464510673937
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
