	Pearson	N	Winner
HUMAN_RAW	0.9986812003171275	11	True
esim	0.9929792639821978	11	False
OpenKiwi-XLMR	0.9916094611802332	11	False
paresim-1	0.9893442065399819	11	False
COMET-HTER	0.9887991810513964	11	False
COMET-2R	0.9856968338627362	11	False
mBERT-L2	0.9774373461345515	11	False
COMET-MQM	0.9738019231073323	11	False
COMET	0.9737773779420348	11	False
YiSi-1	0.9687775402013862	11	False
YiSi-0	0.9666207711318925	11	False
parchrf++	0.9554690631959993	11	False
EED	0.9545830452799641	11	False
COMET-QE	0.9527174206862188	11	False
chrF++	0.951773521099962	11	False
chrF	0.9513375810332791	11	False
CharacTER	0.950810663963922	11	False
sentBLEU	0.9461245975827027	11	False
BLEU	0.9454859570174148	11	False
BLEURT-extended	0.943516841749638	11	False
prism	0.9320714439977759	11	False
COMET-Rank	0.9306634169086465	11	False
parbleu	0.8688340560663015	11	False
YiSi-2	0.8535694657992051	11	False
OpenKiwi-Bert	0.36307732083344674	11	False
TER	0.2972690029836191	11	False
