	Kendall	N
HUMAN_RAW	0.9636363636363636	11
COMET-2R	0.8909090909090909	11
esim	0.8545454545454545	11
sentBLEU	0.8545454545454545	11
BLEU	0.8181818181818182	11
paresim-1	0.8181818181818182	11
parchrf++	0.8181818181818182	11
YiSi-0	0.8181818181818182	11
OpenKiwi-XLMR	0.8181818181818182	11
prism	0.8181818181818182	11
COMET-MQM	0.8181818181818182	11
COMET-HTER	0.8181818181818182	11
chrF	0.8181818181818182	11
COMET-Rank	0.7818181818181819	11
EED	0.7818181818181819	11
BLEURT-extended	0.7818181818181819	11
YiSi-1	0.7818181818181819	11
mBERT-L2	0.7818181818181819	11
chrF++	0.7818181818181819	11
CharacTER	0.7818181818181819	11
COMET	0.7454545454545454	11
COMET-QE	0.7090909090909091	11
parbleu	0.6112159239257249	11
YiSi-2	0.5272727272727272	11
OpenKiwi-Bert	0.23636363636363636	11
TER	0.018181818181818184	11
