	HUMAN_RAW	esim	OpenKiwi-XLMR	paresim-1	COMET-HTER	COMET-2R	mBERT-L2	COMET-MQM	COMET	YiSi-1	YiSi-0	parchrf++	EED	COMET-QE	chrF++	chrF	CharacTER	sentBLEU	BLEU	BLEURT-extended	prism	COMET-Rank	parbleu	YiSi-2	OpenKiwi-Bert	TER
HUMAN_RAW	0.12	0.011397620171525633	0.005472887730073829	0.0032757812551516834	0.0028837465271759947	0.0014796414365641135	0.000328272315919256	0.00019716589705141016	0.0001978427302440931	6.69029815431417e-05	2.8852355167513717e-05	2.9187067687975915e-05	1.5168039442047823e-05	3.0187576641841347e-05	1.857984012962171e-05	1.7184698732843595e-05	1.2350424187172311e-05	1.1395690642868275e-05	1.367539649734718e-05	2.0717883608456713e-05	1.3594528405842648e-05	1.3794011475535513e-05	6.189523914459352e-06	6.121993908126593e-06	9.087784349356199e-05	9.706401551691997e-05
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.02727122424356157	0.021972757241917596	0.022716065718434365	0.002957299627122579	0.007760627944742049	0.0015727977650194774	0.0013864349444585758	0.007063340956617756	0.000535695389618263	0.00117046103581053	0.004851865075356821	0.002725445717616976	0.002641482583607064	0.0023257030629938768	0.0008196005686149468	0.0010846565683658833	8.877923222190905e-05	0.0003679185323865617	7.279987488213239e-05	7.726117147242387e-05
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.04560838086479884	0.04282202691760281	0.03229153004767176	0.03537775567698668	0.035295302404481664	0.010658666234221518	0.01411775903321582	0.010092782491014498	0.009664071790261686	0.010858624146438362	0.011499761433369499	0.009147168276184827	0.008676378778177476	0.0041557140318827825	0.0009856232405585595	0.0020819592310232374	0.0002306461410717222	0.000551172112508314	6.300651677692096e-05	8.251039429878975e-05
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03252090189783797	0.04581639504192048	0.006521984969438982	0.012846275437137062	0.021140629083432207	0.004612887709676296	0.009119499738161292	0.02397534658886175	0.012195587197296137	0.012399565240902511	0.008047061441672462	0.0033494903017776538	0.003510413269923884	0.00017544517571594723	0.0012653835558696267	0.00010580144675658031	0.00012079726826863218
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.0456634395234885	0.012291822251087292	0.04991623066931728	0.12	0.12	0.010228161285053107	0.022509129060202783	0.004398433079257224	0.013083883552993348	0.01416826678800202	0.02416963605632387	0.013940325029276272	0.01247821475183827	0.0021541668876765368	0.0019080442197906284	0.0008163221573157974	0.00024028178387625453	0.0012498126825367783	4.673145574821113e-05	6.752705007270478e-05
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0030208433652951336	0.12	0.12	0.02275756728212003	0.02948462673123483	0.030128205306923304	0.022128736773572053	0.01847903152164235	0.04558984482970994	0.01651984681010509	0.012012811993461065	0.0020466247855216013	4.331412071583824e-05	0.0019690733311725685	0.00048069860132381046	0.0029017814179570726	4.8696063143165885e-06	6.900865742603447e-06
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.047512450090791386	0.12	0.12	0.12	0.0426519627115954	0.12	0.04468258870002345	0.034057522447415174	0.0027637334300749925	0.0020816263163013953	0.005283961482698874	0.0018349056859351615	0.010614365515360144	9.493381280457487e-06	1.4030100932784535e-05
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03483750557127226	0.12	0.12	0.12	0.12	0.12	0.021738601549013453	0.04252302989540829	0.006955560866447626	0.003919346370053402	0.010442176635339464	6.0089790323914745e-05	8.471054437322829e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004974258236052307	0.0010827210370837454	0.00491353735457856	0.0025793134584974737	0.016350667382936133	1.3968660395863629e-06	2.9381739026771656e-06
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017746170044694864	0.12	0.028382536058417472	0.00536883177939276	0.12	0.12	0.12	0.12	0.12	0.12	0.009036523243047642	0.026349638738556076	5.373867035541452e-05	3.693835396886693e-05
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02098348548902777	0.0310059399426753	0.00022217105057969593	0.00013230961393617994
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007746486882296255	0.12	7.785679410482906e-05	8.420772338481763e-05
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0478691191050699	0.12	0.0001956465075860304	0.00011603428376621726
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04884850305555877	0.12	0.00014638568432070719	0.0002057826058393635
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02335365272275541	0.12	0.0001806135883025167	0.00014624626298513703
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.036785805348403554	0.12	0.00010603095404525832	6.662761780715908e-05
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0016102961733081306	0.0008252276122469716
