	Pearson	N	Winner
HUMAN_RAW	0.9062744985949015	11	True
BLEURT-extended	0.8275074104957679	11	True
parchrf++	0.8176853988472149	11	True
COMET-QE	0.8043327369416176	11	True
COMET-2R	0.8031923151142891	11	True
COMET	0.7999957248585515	11	True
chrF	0.7926659322293176	11	True
EED	0.7893974157629728	11	True
YiSi-0	0.7828498943824459	11	True
chrF++	0.7826825169784026	11	True
mBERT-L2	0.7751533464161571	11	True
sentBLEU	0.7717503282707457	11	True
COMET-MQM	0.7657281434740595	11	True
COMET-HTER	0.7632447390308322	11	True
COMET-Rank	0.7602200667118073	11	True
parbleu	0.7600469287887256	11	True
BLEU	0.7428088365424054	11	True
prism	0.742343949183138	11	True
MEE	0.7325799342253284	11	True
CharacTER	0.7263152230665396	11	True
YiSi-1	0.713662003364074	11	True
paresim-1	0.7052595386051786	11	False
esim	0.6980075687718604	11	False
OpenKiwi-XLMR	0.638099583936967	11	False
TER	0.5533284718782401	11	False
OpenKiwi-Bert	0.45025424320569846	11	False
YiSi-2	-0.10669846353514696	11	False
