	Kendall	N
HUMAN_RAW	0.8461538461538461	14
COMET-QE	0.8021978021978022	14
BLEURT-extended	0.7802197802197802	14
mBERT-L2	0.7362637362637363	14
COMET-HTER	0.7362637362637363	14
COMET-MQM	0.7362637362637363	14
COMET	0.7362637362637363	14
COMET-2R	0.7142857142857144	14
OpenKiwi-XLMR	0.6923076923076924	14
paresim-1	0.6923076923076924	14
esim	0.6923076923076924	14
COMET-Rank	0.6923076923076924	14
parchrf++	0.6703296703296704	14
prism	0.6703296703296704	14
TER	0.6408937593274027	14
parbleu	0.6333724316037866	14
YiSi-1	0.6263736263736264	14
EED	0.6043956043956044	14
YiSi-0	0.6043956043956044	14
sentBLEU	0.6043956043956044	14
chrF	0.6043956043956044	14
chrF++	0.6043956043956044	14
MEE	0.5824175824175825	14
BLEU	0.5824175824175825	14
CharacTER	0.5604395604395604	14
OpenKiwi-Bert	0.5384615384615384	14
YiSi-2	0.07692307692307693	14
