	HUMAN_RAW	BLEURT-extended	COMET-2R	COMET	mBERT-L2	COMET-HTER	COMET-QE	esim	paresim-1	COMET-MQM	YiSi-1	EED	prism	OpenKiwi-XLMR	chrF	COMET-Rank	chrF++	parchrf++	YiSi-0	MEE	sentBLEU	parbleu	BLEU	CharacTER	OpenKiwi-Bert	TER	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04931474317317738	0.03643690116367786	0.04504796416555994	0.03448373179839409	0.04145540150720563	0.033930783882228116	0.029116560935560424	0.03303643623909728	0.02809974795544801	0.022722348928534218	0.017635744773443693	0.011053967317091329	0.0021657419715615475	0.0017545585003426935	7.269047095878672e-05
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.04409783247432025	0.12	0.12	0.044196429062322816	0.12	0.12	0.12	0.016649993149584458	0.12	0.035449002413537926	0.12	0.12	0.12	0.12	0.12	0.04179810844749342	0.0318890933220363	0.021813342886193646	0.00048549541888408314	0.003676382810142093	7.363364095021489e-05
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008636015011296148	0.12	0.02984279174206726	0.12	0.12	0.12	0.12	0.04773989284335323	0.04270636394769412	0.03138863057035794	0.01959553357763254	0.0010090360852412865	0.0020115682232256086	2.276159743041292e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00520495998229743	0.12	0.032171763077610854	0.12	0.12	0.12	0.12	0.12	0.12	0.0381951461610238	0.024285873922007793	0.0004312051786513962	0.0027635321066462382	4.725832194394726e-05
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04018919096386705	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	6.634023913378668e-05	0.008554038375884539	0.0001250765029666752
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03665762615349362	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0006193075639199645	0.012122131911150287	0.00012408135317893044
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.006698767378368345	0.02981350314658027	0.00044312716373994237
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013367917843671293	0.0037758832142244835	3.215309610454732e-05
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008376633090024673	0.008190348007909248	7.036525425045433e-05
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0011617270998201246	0.03255977740343118	0.0003631648361212834
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03550124937205171	0.03454300294075218	0.0020064662511252366	1.320882361849308e-05
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.018050284629787073	0.12	0.0029581478206124217	1.364445891001749e-05
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04308239540961422	0.03346813804752405	0.00013286326050219484
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01812711207775261	0.12	0.0006622763227077831
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011729635346476648	0.12	0.015822461160230995	4.962255531421402e-05
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015555786199104454	0.12	0.0005859496478623883
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03657619418704005	0.12	0.026537305039250055	9.555233795844173e-05
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00025242070739937963
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.041807131819053454	7.593706106776135e-05
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.045907292554322764	0.0001734567970744803
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04641725401310134	0.00022969838405782777
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0002547525214889725
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0004857908116437551
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00022010243782183894
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008746253501003158
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0001364139366707607
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
