	Pearson	N	Winner
chrF++	0.9828799619888573	9	True
chrF	0.9816494971117766	9	True
sentBLEU	0.9812779165781833	9	True
BLEU	0.9800659425788556	9	True
EED	0.9797171166809437	9	True
BLEURT-extended	0.9795088251877188	9	True
parchrf++	0.9750469849325704	9	True
YiSi-0	0.9706097503771312	9	True
esim	0.9667818849441406	9	True
paresim-1	0.9642096745711514	9	True
CharacTER	0.9614946566920545	9	False
parbleu	0.9587080949425774	9	True
mBERT-L2	0.945627140755014	9	False
HUMAN_RAW	0.9423687682644801	9	True
YiSi-1	0.9262462969557732	9	False
COMET	0.9251442899290251	9	False
OpenKiwi-XLMR	0.8749766495620347	9	False
COMET-2R	0.8721651765514192	9	False
OpenKiwi-Bert	0.8341735829992512	9	False
COMET-QE	0.8068687911950986	9	False
COMET-HTER	0.8034106794174438	9	False
COMET-MQM	0.7876376858105572	9	False
MEE	0.7244066418072019	9	False
prism	0.7240503874771181	9	False
COMET-Rank	0.6761860161366072	9	False
YiSi-2	0.5837022903760898	9	False
TER	0.06403141690492399	9	False
