	Kendall	N
CharacTER	0.9444444444444445	9
sentBLEU	0.9444444444444445	9
YiSi-0	0.9444444444444445	9
BLEU	0.8888888888888888	9
chrF++	0.8888888888888888	9
chrF	0.8888888888888888	9
parchrf++	0.8888888888888888	9
paresim-1	0.8333333333333334	9
BLEURT-extended	0.8333333333333334	9
esim	0.8333333333333334	9
YiSi-1	0.8333333333333334	9
EED	0.8333333333333334	9
mBERT-L2	0.7777777777777778	9
HUMAN_RAW	0.7777777777777778	9
parbleu	0.760638829255665	9
COMET	0.7222222222222222	9
OpenKiwi-Bert	0.7222222222222222	9
MEE	0.6666666666666666	9
OpenKiwi-XLMR	0.6666666666666666	9
COMET-QE	0.6666666666666666	9
COMET-MQM	0.6666666666666666	9
COMET-HTER	0.6666666666666666	9
COMET-2R	0.611111111111111	9
prism	0.611111111111111	9
COMET-Rank	0.5555555555555556	9
TER	0.5555555555555556	9
YiSi-2	0.4444444444444444	9
