	chrF++	chrF	sentBLEU	BLEU	EED	BLEURT-extended	parchrf++	YiSi-0	esim	paresim-1	CharacTER	parbleu	mBERT-L2	HUMAN_RAW	YiSi-1	COMET	OpenKiwi-XLMR	COMET-2R	OpenKiwi-Bert	COMET-QE	COMET-HTER	COMET-MQM	MEE	prism	COMET-Rank	YiSi-2	TER
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02650405586257897	0.12	0.12	0.12	0.0029839073765749835	0.03617442604899793	0.0168410006439193	0.007406957678724177	0.009616883642532374	0.0015344261587375556	0.002931731913552066	0.0018085673529050718	0.00012128638448583388	0.00016818429798191176	0.000900386345980673	7.246853802712331e-05	0.0002617509567335452
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03400434784923031	0.12	0.12	0.12	0.003091885020661591	0.03827131210439441	0.019521389041392587	0.006244398972859036	0.011650034838780396	0.0012442781516671894	0.002432514854400525	0.0014992719139729509	3.501256994903123e-05	0.00014828052843605114	0.0006944101588082489	5.916654018772752e-05	0.00015470702820116647
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0219893405706819	0.021006985463760237	0.012668289592233085	0.009459676791212322	0.00938592276354928	0.008039651327249969	0.0037810841040348373	0.004137275633473097	0.004370459090640412	0.0013881351946731467	0.0015497253984446558
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.025300673113322923	0.02426810450710192	0.014086179698000878	0.01071267716274975	0.01080186533921657	0.009232629328537285	0.004895026738383194	0.004412162112922237	0.005029593582632866	0.0015504427582697954	0.001941639184772498
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04017522138284245	0.12	0.026257078349461335	0.0163294008326663	0.015208150898250549	0.00752374271497938	0.007468038880414425	0.006120973393039871	0.0011378692424501753	0.0026504738631924494	0.0026721526586811315	0.0007310991431695408	0.0004659670170109155
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0034308638703741626	0.12	0.12	0.04423266632636186	0.0021916514081010766	0.017961091528397102	0.00029909017162611394	0.009428048872110701	0.0064104280070394915	0.005952823828102092	0.006744334140501543	0.005754494344260988	0.003076652794362964	0.004185663057740385	0.002377796328600735
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.022516144081798393	0.12	0.0398583053522204	0.024270369807888353	0.022327995962329886	0.0034066270931935047	0.008375428091486833	0.005044763248033095	0.0003801088216606823	0.00020171082778937995	0.0022761829340262325	5.739258658683634e-05	0.00031963455727324454
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.049731808296213556	0.033597052242031716	0.01832270368774846	0.021138550004734448	0.016446972343353836	0.003503060233682617	0.004107663362053444	0.0076247580597000215	0.00022175216791999039	0.0009614708555280987
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.005888919983042115	0.03743192512569804	0.0011395846382358506	0.023603477576774497	0.012877859211315557	0.012280798104708082	0.014857982692443476	0.01267312940991753	0.005952533783609622	0.006382608793643172	0.0025364673584165917
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011732977789455767	0.12	0.0015057455688591663	0.028920501307618703	0.017971264395943057	0.016402826669233355	0.017881739036527115	0.015007244456541996	0.007954564126830361	0.007182588243062216	0.003007412439524939
