	Pearson	N	Winner
HUMAN_RAW	0.9276482085849471	12	True
YiSi-2	0.9227286955344551	12	True
EED	0.913454362135831	12	True
YiSi-1	0.9093036302820902	12	True
YiSi-0	0.897489630759998	12	True
chrF	0.8900651428650029	12	True
TER	0.8825554477085824	12	True
chrF++	0.8803782772270972	12	True
MEE	0.8608014184922407	12	False
COMET-2R	0.851615398559381	12	False
sentBLEU	0.8516041147057154	12	False
CharacTER	0.8514339954058111	12	False
parbleu	0.8490561606528488	12	True
mBERT-L2	0.8338564135007667	12	False
esim	0.8327446996454356	12	False
paresim-1	0.8327446996454356	12	False
BLEU	0.8289966666881251	12	False
BLEURT-extended	0.8140078505905197	12	False
COMET	0.797975314013089	12	False
COMET-HTER	0.6809440651211859	12	False
OpenKiwi-XLMR	0.6760447496656689	12	False
COMET-MQM	0.6409883894153566	12	False
COMET-QE	0.6218302028381691	12	False
COMET-Rank	0.5105004693053343	12	False
prism	0.451656412694228	12	False
OpenKiwi-Bert	0.3703546919286354	12	False
