	Kendall	N
YiSi-2	0.8857142857142857	15
sentBLEU	0.8666666666666667	15
EED	0.8666666666666667	15
parbleu	0.842114902586048	15
BLEU	0.8285714285714286	15
chrF++	0.8285714285714286	15
MEE	0.8285714285714286	15
HUMAN_RAW	0.8095238095238096	15
chrF	0.8095238095238096	15
YiSi-1	0.8095238095238096	15
COMET-2R	0.7904761904761906	15
YiSi-0	0.7904761904761906	15
CharacTER	0.7714285714285715	15
COMET	0.7714285714285715	15
BLEURT-extended	0.7714285714285715	15
esim	0.7523809523809525	15
mBERT-L2	0.7523809523809525	15
TER	0.7523809523809525	15
paresim-1	0.7523809523809525	15
OpenKiwi-XLMR	0.6571428571428571	15
COMET-MQM	0.6190476190476191	15
COMET-HTER	0.6190476190476191	15
prism	0.561904761904762	15
COMET-QE	0.5428571428571429	15
COMET-Rank	0.5238095238095238	15
OpenKiwi-Bert	0.3142857142857143	15
