	HUMAN_RAW	YiSi-2	EED	YiSi-1	YiSi-0	chrF	TER	chrF++	MEE	COMET-2R	sentBLEU	CharacTER	parbleu	mBERT-L2	esim	paresim-1	BLEU	BLEURT-extended	COMET	COMET-HTER	OpenKiwi-XLMR	COMET-MQM	COMET-QE	COMET-Rank	prism	OpenKiwi-Bert
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.022755338203724794	0.02237589272604799	0.016757041581043183	0.011911286551360202	0.0074661340981805845	0.002845139928575007	0.0021461131135295
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019019226360606732	0.016685056187690075	0.013687658729984748	0.013268185000093705	0.007611088551060511	0.0009539771991603038	0.007744946271194272
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.024652587110551613	0.12	0.04059879468158479	0.04017390867773437	0.12	0.12	0.12	0.12	0.02388088660085177	0.04443764308103021	0.04842672246728604	0.014812022886119394	0.01285309012590597	0.007514828334460719	0.0095992393490448	0.0033013427880716323	0.0037440234026388268	0.008662356660140895
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03511252301902079	0.12	0.024792131154092657	0.12	0.022023381947440156	0.008740189706080741	0.008740189706080741	0.12	0.00469886581203361	0.006111628573009345	0.0019179575421473306	0.001137207911634509	0.0005327843057459257	0.002233498499994323	0.0004869584901939821	0.0006752423493749188	0.0058938651071447305
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.039579580536316945	0.03577271280670057	0.02372702601180765	0.0252900961756734	0.01023939763076141	0.010060149671542444	0.015034801643358171
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04741106535267049	0.12	0.12	0.02393017947075954	0.023722134924588956	0.011866456863857837	0.012689852069049436	0.0036908774613039225	0.00830911969819304	0.012760601579925878
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03675403881479881	0.02469538327698964	0.01804304777795514	0.024614765351651417	0.006645395203078537	0.0048635905437749375	0.007197221436837356
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.036618816696778626	0.03637307870381144	0.019608330367046164	0.01890216151594215	0.00605974753085648	0.011365661528735482	0.016481637627400472
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04383659330388191	0.0183617618044763	0.02045062030811363	0.0285591721729051
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0018591782847760714	0.0003261186597743291	0.0007261024180667727	5.635361583538156e-05	0.0018535141030348902	0.00025450831225801347	0.0019521186638968438	0.014532414481323244
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04283410597405885	0.036803425177984544	0.011364271977956605	0.017022898521079768	0.025445751463750974
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.039407422178550124	0.04004341759213116	0.01888462969533239	0.023842525218581816	0.005524723488851863	0.011016413176929984	0.026163854253631654
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03836414207786029	0.029161286010985173	0.008447881572789483	0.013709076143917146	0.02031740739785178
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.039828901417055244	0.013703734144418583	0.014188948087481425	0.029576194706718538	0.00524761868873754	0.0015187057506817505	0.01709968159542973
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.04835907354853876	0.021864879563366642	0.016910279106770218	0.035852237289672954	0.006242211748164191	0.005309708169303211	0.020781912162286927
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.04835907354853876	0.021864879563366642	0.016910279106770218	0.035852237289672954	0.006242211748164191	0.005309708169303211	0.020781912162286927
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01820062403258677	0.028557975001183213	0.034104437698920326
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03083053265828093	0.0170090362130858	0.0080061515132799	0.013983120967875873	0.0023385975398537502	0.005816191728788618	0.02634979425079961
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.002570870293555487	0.009950626399768254	0.0004591320718637259	0.004820645740211682	0.0006411982406207068	0.0068326944928161154	0.03275573635941051
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.026115151524025312	0.12	0.0024870159855579425	0.12	0.12
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017183931400503314	0.04396393580239253	0.12
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.012896484375307552	0.12	0.12
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04070148288300819	0.12	0.12
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
