	HUMAN_RAW	YiSi-1	COMET-2R	EED	CharacTER	COMET	mBERT-L2	BLEURT-extended	esim	paresim-1	chrF	chrF++	YiSi-0	COMET-HTER	YiSi-2	COMET-MQM	OpenKiwi-XLMR	MEE	COMET-QE	sentBLEU	BLEU	COMET-Rank	parbleu	TER	prism	OpenKiwi-Bert
HUMAN_RAW	0.12	0.04908778109608858	0.01217341892372309	0.011248316408728884	0.009752932244258836	0.00344626245900585	0.0034397206252765188	0.0025699762935952487	0.002177009294333232	0.002177009294333232	0.0019264844819647574	0.0011717891991944245	0.0012616077909180501	0.0009395763938149245	0.00038608890565836615	0.00046301261909137686	0.00044119259616445935	0.00037944310430685697	0.00017970593284048807	0.00016602287703839483	0.00015902536325378299	0.0001266772467459614	0.0001206198343168878	0.00011679752729090651	7.130883524256846e-05	4.5823331586773465e-05
YiSi-1	0.12	0.12	0.12	0.12	0.012130262696696205	0.04267464546432517	0.12	0.023796200623953784	0.02493022212397108	0.02493022212397108	0.013403720516558663	0.008110868834598745	0.017395334909172444	0.02331607925119348	0.023351746309781797	0.006888961738089916	0.010142671393812105	0.006551324790748672	0.0017310105541420882	0.002071630869804535	0.0021029929763580458	0.002227384408018572	0.0020209347794508973	0.0040229212560419355	0.002011943518894781	0.0024597440686168646
COMET-2R	0.12	0.12	0.12	0.12	0.12	6.553680012488637e-05	0.12	0.011832409672232074	0.015183108897384527	0.015183108897384527	0.12	0.12	0.12	0.0006902064424268909	0.12	2.7797311581638876e-05	0.00010812384335127606	0.12	0.0006789199163249092	0.039189046671397755	0.03733780639552784	1.6707395368664468e-05	0.029357536018042245	0.027816797162530476	0.0003725573417298943	0.0010196750633376989
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.012802620739873394	0.12	0.12	0.12	0.12	0.0027268445669828296	0.04052288858925886	7.070374289074845e-05	0.0001689387658060851	0.036403343061529994	0.0003379018138209612	0.005221539582444507	0.027299845351778065	0.01971143788844724
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03877873305171486	0.0496657501807207	0.12	0.011883394757148759	0.022376499720103544	0.0213070615284159	0.01036509835455817	0.019410399402761885	0.029144538558509375	0.012552929844826862	0.012790371483343945
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.029008002256625493	0.12	0.0003961763783389916	0.0052913315497493665	0.12	0.003026198416400696	0.12	0.12	0.000102336464673183	0.12	0.12	0.002350056465034904	0.00559929215607803
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.012197870350340282	0.00981069744049367	0.12	0.019392680714715144	0.12	0.12	0.001023202735302408	0.12	0.12	0.0007340196516087393	0.003784382441223993
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017559148781456917	0.03563171363711252	0.12	0.009968841684264557	0.12	0.12	0.001833235689281799	0.12	0.12	0.0059765560343546	0.01059133830106683
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.03236126785540849	0.12	0.046695278981159535	0.12	0.12	0.0058085933112681605	0.12	0.12	0.010251094532410994	0.009969998137446055
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03236126785540849	0.12	0.046695278981159535	0.12	0.12	0.0058085933112681605	0.12	0.12	0.010251094532410994	0.009969998137446055
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007179525745685335	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02155485921440808	0.12	0.12	0.12	0.12	7.937630941769786e-05	0.12	0.12	0.01355039058613952	0.01007374413251932
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0010579950651638996	0.12	0.12	0.04968582637817838	0.049043660403907105
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.020060626927975445	0.12	0.12	0.12	0.02865530049070656
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
