	Pearson	N	Winner
HUMAN_RAW	0.9873401695038825	12	True
paresim-1	0.9829716314941997	12	True
EQ_static	0.9759102422812588	12	True
esim	0.9719657381886926	12	False
parbleu	0.9617568714489233	12	False
YiSi-1	0.958981808528423	12	False
BAQ_static	0.957519664932995	12	False
parchrf++	0.9481814038604709	12	False
EQ_dyn	0.9480460640734388	12	False
mBERT-L2	0.9336252907995525	12	False
BLEU	0.9283050731112158	12	False
EED	0.9276404438150849	12	False
BLEURT-extended	0.9275337570856571	12	False
sentBLEU	0.9265355079413393	12	False
chrF	0.9228283801076226	12	False
CharacTER	0.9054745892538824	12	False
BAQ_dyn	0.9042562424659356	12	False
chrF++	0.8778216604790863	12	False
OpenKiwi-Bert	0.5507171688684354	12	False
COMET-Rank	0.5403030417727213	12	False
COMET-QE	0.37537726842521274	12	False
YiSi-0	0.36205156691506984	12	False
prism	0.2207218562207062	12	False
COMET-MQM	0.08407037027695384	12	False
COMET	0.006614163916133246	12	False
OpenKiwi-XLMR	-0.009797096214666047	12	False
COMET-2R	-0.06584684668843532	12	False
COMET-HTER	-0.07280644856702773	12	False
TER	-0.2129916030193923	12	False
YiSi-2	-0.21531620928735942	12	False
