	Kendall	N
mBERT-L2	0.909090909090909	12
BLEURT-extended	0.8484848484848484	12
HUMAN_RAW	0.8181818181818181	12
paresim-1	0.8181818181818181	12
EQ_static	0.8181818181818181	12
BAQ_static	0.7878787878787877	12
esim	0.7878787878787877	12
YiSi-1	0.7575757575757575	12
EED	0.7272727272727272	12
chrF++	0.7272727272727272	12
chrF	0.7272727272727272	12
sentBLEU	0.7272727272727272	12
parchrf++	0.7272727272727272	12
EQ_dyn	0.7272727272727272	12
BLEU	0.7272727272727272	12
parbleu	0.7175781594491396	12
CharacTER	0.6969696969696969	12
BAQ_dyn	0.6969696969696969	12
COMET	0.606060606060606	12
OpenKiwi-Bert	0.606060606060606	12
COMET-2R	0.606060606060606	12
COMET-QE	0.5757575757575757	12
COMET-HTER	0.5757575757575757	12
prism	0.5757575757575757	12
OpenKiwi-XLMR	0.5454545454545454	12
COMET-MQM	0.5454545454545454	12
COMET-Rank	0.5151515151515151	12
YiSi-0	0.5151515151515151	12
TER	0.2424242424242424	12
YiSi-2	0.1212121212121212	12
