	HUMAN_RAW	paresim-1	EQ_static	esim	parbleu	YiSi-1	BAQ_static	parchrf++	EQ_dyn	mBERT-L2	BLEU	EED	BLEURT-extended	sentBLEU	chrF	CharacTER	BAQ_dyn	chrF++	OpenKiwi-Bert	COMET-Rank	COMET-QE	YiSi-0	prism	COMET-MQM	COMET	OpenKiwi-XLMR	COMET-2R	COMET-HTER	TER	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.04427429868536602	0.033234587761702836	0.020984092610570763	0.024271743863155032	0.009535684424728724	0.007079065724223073	0.007134542895049205	0.006512662056065022	0.007018619069914614	0.005586324957967231	0.003114685265581149	0.0025391830475628226	0.0014888544986451414	0.00017657103687459606	3.8604900492656385e-05	5.703682431366384e-05	7.534949022333224e-05	5.9469776407955135e-05	6.574772554373309e-05	6.7201431960463e-05	6.628447786993812e-05	6.401163889996541e-05	6.182703974314052e-05	4.8214845046789186e-05	5.375382010753464e-05
paresim-1	0.12	0.12	0.12	0.017906993481627633	0.006542913879451261	0.0007757292493765107	0.12	0.0031173196341190593	0.0008893442426220709	0.0018549530870258656	0.00016092626494567975	2.7879796065272314e-05	0.0019898612148512703	6.94195652091432e-05	1.4758529426377834e-05	5.3617963449120714e-05	0.0027001953510203697	2.9466122542750682e-05	6.418993288824067e-05	0.0002948383988734533	0.00032638781466685186	0.0001998604095726215	0.0002561712334211508	0.00023721192238042107	0.00021039751481404076	0.00022333252336981214	0.00019520413708938822	0.0002002535683120689	0.0001526979051246886	0.00015173201498840997
EQ_static	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02829337064383721	0.031024905864768	0.030487020332711664	0.015103452647567206	0.03155360130401423	0.02258213093567714	0.015337057329668665	0.020661051495900678	0.004527790775002263	0.00025606153959860834	0.00034140482988979644	0.0003917032872012336	0.000368578484737529	0.0003144974084238775	0.0002759936438797329	0.0002474555107545561	0.00024761828317139135	0.00022796602097053978	0.0002273704492474108	0.0001677156425540629	0.00018408743845661635
esim	0.12	0.12	0.12	0.12	0.12	0.005459092700626417	0.12	0.12	0.002456980722678447	0.03384838342059974	0.0015585321373014626	0.0003268829051826986	0.03626432227726146	0.0005789568729221974	0.00020247217340887844	4.500412461342873e-05	0.01587140750902521	0.0005302515970590367	0.00025755133931248286	0.001066956116694279	0.000836083680091134	0.00044483946035003846	0.0005556347797575231	0.00046200794409974414	0.00038854238908276283	0.0004175970006543883	0.000345860935772148	0.0003566867096758249	0.0002579402751831259	0.0002500294365311598
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.026905796834795	0.0050604053326574	0.12	0.010950021435750563	0.007242320927611429	0.007936471956939369	0.04624789018144882	0.0027512653651166705	0.0007331655584904384	0.001821425963894385	0.0013030035507963454	0.0007150913526280415	0.0007842979039000543	0.000627665710016651	0.0005087656252366854	0.000548671197795339	0.00044573436647831464	0.0004634640699757823	0.0003269986485465581	0.0003100611669250358
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00666177847003529	0.000633172502781497	0.12	0.0021082260805438792	0.000491587162236885	0.0004560397923404929	0.04739646446830212	0.00302769759059347	0.0009591180243662758	0.0023638096580080063	0.001578220577848703	0.0008038576214903085	0.0009178049599380422	0.0007136665060410744	0.0005764736264198021	0.0006244316607378139	0.0005011969642405503	0.0005193051824588591	0.00035979206412174204	0.00034884760558577863
BAQ_static	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.002254569988016522	0.001088353244498423	0.0008163693434600516	0.0007786105198472931	0.0004898857706271138	0.0003878763483925287	0.0003482467030308811	0.0003448911733600881	0.0003028740067577554	0.00029261294371795993	0.00019451803123951867	0.00022549720509037932
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0018109200038998112	0.0014396344021239812	0.004371583759981351	0.002840261600979485	0.0017484739874554288	0.001763749990870396	0.001289164006228232	0.0009721404425565797	0.0010260502762083927	0.000837810117317002	0.0008842927010592351	0.000618263768757231	0.000586226129962592
EQ_dyn	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0011757935871515592	0.12	0.030758602828854183	0.0013130481190857433	0.0054765956650108805	0.003388377028039039	0.002011922322815774	0.001973969016622955	0.001473835098139976	0.0012066577973329899	0.001271017640589848	0.0010267132396801092	0.0010422142171200583	0.0007051093741188209	0.0006850990600266638
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03320044583901063	0.004613815961224835	0.006446118684109746	0.003712661387311236	0.0022699481607587756	0.0020184508883291123	0.0014239090517035086	0.0010183108619549223	0.00108636968789883	0.0008639193192258964	0.0009263310942681799	0.0006237640894992562	0.0005866663850364253
