	Pearson	N	Winner
HUMAN_RAW	0.9873401695038825	12	True
paresim-1	0.9832454368775312	12	True
esim	0.9753220424773112	12	True
parchrf++	0.9663618165385383	12	True
YiSi-1	0.9591932946299048	12	False
parbleu	0.9547788327667992	12	False
mBERT-L2	0.9248124886772351	12	False
EED	0.9227871594731822	12	False
BLEURT-extended	0.9227738740483095	12	False
chrF++	0.915183722486209	12	False
chrF	0.9121177892367911	12	False
sentBLEU	0.9114341525058538	12	False
CharacTER	0.9080712797256386	12	False
BLEU	0.8994508894430331	12	False
OpenKiwi-Bert	0.5507171688684354	12	False
COMET-Rank	0.5066956831380894	12	False
COMET-QE	0.37537726842521274	12	False
YiSi-0	0.27341832459597265	12	False
prism	0.17801612846701628	12	False
COMET-MQM	0.07595595369453365	12	False
OpenKiwi-XLMR	-0.009797096214666047	12	False
COMET	-0.013572722434298818	12	False
COMET-HTER	-0.07479322664606641	12	False
COMET-2R	-0.07567304650706398	12	False
TER	-0.20025099963911797	12	False
YiSi-2	-0.21531620928735942	12	False
