	Pearson	N	Winner
HUMAN_RAW	0.9873401695038825	12	True
paresim-1	0.9847195689604114	12	True
esim	0.9758371851256588	12	False
YiSi-1	0.9602880836430343	12	False
parbleu	0.9591953093843325	12	False
mBERT-L2	0.9362707898934217	12	False
EED	0.9300315052818888	12	False
BLEURT-extended	0.9253976050400277	12	False
sentBLEU	0.9191327821975316	12	False
BLEU	0.9133166281019942	12	False
CharacTER	0.9007316929877885	12	False
parchrf++	0.8958849794231903	12	False
chrF++	0.8847102384775072	12	False
OpenKiwi-Bert	0.5507171688684354	12	False
COMET-Rank	0.5301048561203631	12	False
COMET-QE	0.37537726842521274	12	False
YiSi-0	0.33213750829217364	12	False
prism	0.2207218562207062	12	False
COMET-MQM	0.0800391948287671	12	False
COMET	-0.0035068115652738805	12	False
OpenKiwi-XLMR	-0.009797096214666047	12	False
COMET-HTER	-0.07380519211313098	12	False
COMET-2R	-0.07516665040105923	12	False
TER	-0.20253720877275752	12	False
YiSi-2	-0.21531620928735942	12	False
