	HUMAN_RAW	paresim-1	esim	YiSi-1	parbleu	mBERT-L2	EED	BLEURT-extended	sentBLEU	BLEU	CharacTER	parchrf++	chrF++	OpenKiwi-Bert	COMET-Rank	COMET-QE	YiSi-0	prism	COMET-MQM	COMET	OpenKiwi-XLMR	COMET-HTER	COMET-2R	TER	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.04477077535159861	0.011480112596252775	0.008343730576485214	0.006050066072390398	0.005615737782372138	0.0043637661464304076	0.0027329345422985817	0.0024115257782911766	0.0017829197236065915	0.00017657103687459606	3.8968987741316856e-05	5.703682431366384e-05	7.612026685391956e-05	5.9469776407955135e-05	6.528199159267937e-05	6.664337464341534e-05	6.628447786993812e-05	6.160058217089677e-05	6.320696404895482e-05	4.8377640499452176e-05	5.375382010753464e-05
paresim-1	0.12	0.12	0.03833988501352935	0.002992265485111971	0.014039044021588879	0.0006318007966753124	0.00027769537819069713	0.000564425301289522	0.00014256826929197943	8.747282465309309e-05	0.00012942963422400418	8.125884465304943e-05	5.833823043630416e-05	5.3902350081091015e-05	0.00021772389309921978	0.0002641030545884689	0.00017823046830594416	0.00021379684045080637	0.00020245656152601191	0.00018039141356899956	0.00019050601487227616	0.00017348132375740518	0.00016781002324966135	0.00013568906059340744	0.00013390111462818137
esim	0.12	0.12	0.12	0.013472041060669716	0.12	0.01562624999454875	0.001266491657431081	0.016363800849742084	0.0005804966682945254	0.0003625236818819878	0.00017918531098740342	0.0007925039173397393	0.0006832593600144437	0.00017911497049775854	0.0007093544947167239	0.0006200534357443355	0.00034779461735312105	0.0004264946671803618	0.00036502769730317167	0.00030945400071094624	0.0003334232078504378	0.00028892740076650274	0.0002772180964487644	0.00021605490738044005	0.00020735870171224605
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.0001666190066163026	0.12	0.00028004618144004826	0.00017316616414079448	0.00048733835008651655	0.0019489730145680602	0.0027822808627767635	0.0008447371023250084	0.0020851462247824626	0.001485936093237297	0.0007474046454310677	0.0008714300439101154	0.0006823372660931024	0.0005419977028033444	0.0005952006763041072	0.0004980530005491133	0.00047052238879760643	0.00035498566147325095	0.0003342183104903607
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.014038293434878963	0.12	0.0077922344835738965	0.004367271218090988	0.006747017185837461	0.007186394162217295	0.007513500183417052	0.0007945596782899481	0.002227145465982361	0.0015792891594166804	0.00087231013838163	0.0009265612747158504	0.0007413705297284141	0.0005894136069872703	0.0006433781578550993	0.0005414944398782097	0.0005110978395512785	0.00038608422409711405	0.00035265817313096995
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014469064414286088	0.004127308250852863	0.005559020838924099	0.0033985883285174785	0.0018493679673730857	0.001849485371094795	0.0013147063449077036	0.0009223419562128797	0.0010036578539134265	0.0008583604386362199	0.0007807621586072832	0.0005982303948108071	0.0005394437084058034
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04224620867851005	0.04664204624264983	0.004299624793539695	0.009550023682260695	0.005673860635211224	0.0029877989581004404	0.003021180908763557	0.0021355214770949794	0.0015891261362502313	0.0017356747560210801	0.001415275981847315	0.0013261275815380717	0.0009605519135379392	0.0008825821493549047
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0060038109746141655	0.008074608589655601	0.004996674408425807	0.0032032705882373263	0.002741228603028476	0.0019146834537961406	0.0013527442975495192	0.0014346838171866011	0.001235146999054551	0.0011380275601095618	0.0008499748911681664	0.0007865612973807537
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008136501599740234	0.013095485212905896	0.007329340018505153	0.0035964066649214112	0.003704870831092721	0.0025258950440282583	0.0018008888283928103	0.001988737028053976	0.001607144033333707	0.0014826804779868887	0.001075542072861264	0.0009599626962312342
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.010201881761415555	0.015287918290773994	0.00854686616594438	0.0042792759893356186	0.004241198972133352	0.002868105977033548	0.0020540192539384144	0.0022617931504600357	0.0018167061434658947	0.001684121101014902	0.0012012003374247133	0.001084355588050274
