	Kendall	N
HUMAN_RAW	0.8909090909090909	11
YiSi-1	0.6727272727272727	11
mBERT-L2	0.6727272727272727	11
prism	0.6727272727272727	11
EED	0.6363636363636364	11
COMET-MQM	0.6363636363636364	11
paresim-1	0.6363636363636364	11
esim	0.6363636363636364	11
MEE	0.6363636363636364	11
COMET	0.6363636363636364	11
COMET-2R	0.6000000000000001	11
YiSi-0	0.6000000000000001	11
BERT-base-L2	0.5636363636363636	11
COMET-HTER	0.5636363636363636	11
BLEURT	0.5272727272727272	11
CharacTER	0.5272727272727272	11
BLEURT-extended	0.5272727272727272	11
BERT-large-L2	0.5272727272727272	11
TER	0.5137830903923016	11
YiSi-2	0.4909090909090909	11
COMET-QE	0.4909090909090909	11
parchrf++	0.4909090909090909	11
SWSS+METEOR	0.4909090909090909	11
sentBLEU	0.45454545454545453	11
chrF	0.41818181818181815	11
chrF++	0.41818181818181815	11
parbleu	0.40368671387966554	11
BLEU	0.3090909090909091	11
COMET-Rank	0.3090909090909091	11
OpenKiwi-XLMR	0.018181818181818184	11
OpenKiwi-Bert	-0.05454545454545454	11
