	HUMAN_RAW	COMET-2R	COMET	COMET-MQM	mBERT-L2	YiSi-1	prism	YiSi-0	EED	esim	paresim-1	BLEURT-extended	BLEURT	MEE	COMET-HTER	SWSS+METEOR	CharacTER	BERT-large-L2	TER	chrF	chrF++	parchrf++	BERT-base-L2	COMET-QE	YiSi-2	sentBLEU	parbleu	BLEU	OpenKiwi-XLMR	COMET-Rank	OpenKiwi-Bert
HUMAN_RAW	0.12	0.02196828244164535	0.015422454091990348	0.010281248139520981	0.012129551877065964	0.011372690199405256	0.011778088177469724	0.011394378178240443	0.009941717932251501	0.008388149842709448	0.00760708070002296	0.005542478404459243	0.005375383918037981	0.005712255062021709	0.003692864235387243	0.0055494989606261385	0.005363270496497894	0.00364761561489999	0.0037972201879946255	0.004064821321057949	0.0040605294876749805	0.0039203384838795725	0.002682086272565445	0.0022095975466856774	0.0022486421166826804	0.0021851577878106987	0.0020471151913277774	0.0017132266117940497	0.0003061204011367081	0.0006491695031979304	0.0003214229165923022
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01850784276779197	0.02109675474401628	0.028678439790960096	0.12	0.12	0.12	0.02245896404720476	0.00704123304424013	0.004739270019816423	0.011272361454651348	0.002206901031838317	0.005176374883531112
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.037907238858300225	0.032655019684830276	0.12	0.12	0.12	0.12	0.03614551770832909	0.12	0.12	0.12	0.12	0.018893162202449916	0.12	0.12	0.12	0.12	0.12	0.003530013072230829	0.02277690749977245	0.0015123514773993047
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0017648973844858592	0.02473731629062237	0.002312354385231028
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01927250529162959	0.12	0.12	0.12	0.12	0.12	0.009109248523067078	0.03259837969536165	0.0016200476863288344
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01910537926914503	0.021467877080123602	0.008110938085302243
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.031164110911166113	0.026462307351700052	0.009100420304767463
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04551454237817343	0.12	0.12	0.12	0.12	0.12	0.03838508239666521	0.01950132064224416	0.037051154333055565	0.013067846357887263	0.010429592613433876
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0403181037319099	0.12	0.12	0.12	0.12	0.017154033413254527	0.00515343124529893	0.0025467701863116842	0.044733324835438085	0.005688300316749953	0.01681502803565109
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02971970237461299	0.039767033871547564	0.007121568478089445
