	Pearson	N	Winner
SWSS+METEOR	0.9189438837210531	7	True
EED	0.90386018756323	7	True
MEE	0.9000459744745969	7	True
CharacTER	0.8952350591625128	7	True
parchrf++	0.8773726876063552	7	True
chrF++	0.8711404412794332	7	True
prism	0.8691729175594574	7	True
YiSi-1	0.8676035617809502	7	True
YiSi-0	0.8669934283131207	7	True
chrF	0.8612719075668458	7	True
HUMAN_RAW	0.8587030850614121	7	True
sentBLEU	0.8508195094659343	7	True
parbleu	0.833375082151721	7	True
COMET	0.8278293129959697	7	True
BLEU	0.825576126985097	7	False
esim	0.821986077513994	7	True
BLEURT	0.8195440920468046	7	True
paresim-1	0.8191547388123136	7	True
COMET-2R	0.8175359551107075	7	True
mBERT-L2	0.8114844794977442	7	True
COMET-Rank	0.7926605398350038	7	True
BERT-base-L2	0.7892503702645737	7	False
BERT-large-L2	0.7836394468100021	7	True
YiSi-2	0.7764563785927103	7	True
BLEURT-extended	0.7724748662291494	7	True
TER	0.7523207457803714	7	False
OpenKiwi-XLMR	0.7135690224127117	7	False
COMET-MQM	0.7074643995877254	7	False
COMET-HTER	0.7022304170978797	7	True
COMET-QE	0.5852172000693597	7	True
OpenKiwi-Bert	0.5457002232788627	7	False
