	Kendall	N
prism	0.8666666666666666	10
BERT-large-L2	0.8666666666666666	10
MEE	0.8666666666666666	10
parchrf++	0.8222222222222221	10
chrF	0.8222222222222221	10
BERT-base-L2	0.8222222222222221	10
paresim-1	0.8222222222222221	10
mBERT-L2	0.8222222222222221	10
OpenKiwi-XLMR	0.8222222222222221	10
esim	0.8222222222222221	10
COMET-HTER	0.8222222222222221	10
COMET-MQM	0.8222222222222221	10
COMET-Rank	0.8222222222222221	10
CharacTER	0.8222222222222221	10
SWSS+METEOR	0.8222222222222221	10
BLEURT	0.8222222222222221	10
parbleu	0.7777777777777777	10
YiSi-2	0.7777777777777777	10
YiSi-1	0.7777777777777777	10
HUMAN_RAW	0.7777777777777777	10
BLEU	0.7777777777777777	10
COMET-QE	0.7777777777777777	10
COMET-2R	0.7777777777777777	10
BLEURT-extended	0.7777777777777777	10
chrF++	0.7777777777777777	10
COMET	0.7777777777777777	10
OpenKiwi-Bert	0.7333333333333333	10
EED	0.7333333333333333	10
sentBLEU	0.7333333333333333	10
YiSi-0	0.6888888888888888	10
TER	0.6888888888888888	10
