	esim	paresim-1	MEE	YiSi-1	BLEURT	SWSS+METEOR	BERT-large-L2	sentBLEU	parchrf++	EED	TER	prism	chrF++	YiSi-0	BERT-base-L2	YiSi-2	parbleu	HUMAN_RAW	CharacTER	mBERT-L2	BLEU	chrF	COMET	COMET-2R	BLEURT-extended	OpenKiwi-XLMR	COMET-Rank	COMET-HTER	COMET-MQM	COMET-QE	OpenKiwi-Bert
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019360352262284167	0.01901377183160432	0.012309998796019381	0.01065772731521631	0.008730191506020288	0.001190199324493804
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.019750646338868347	0.019578475063923094	0.012518223382303436	0.010874212547238107	0.008879541899479596	0.0011952729963762032
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0442006131612907	0.12	0.12	0.12	0.0332632835661512	0.02796617982624636	0.020436522099990282	0.016661381831993363	0.011240356170528138	0.0022373564738190008
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02878708818865871	0.0177378783748431	0.12	0.010536510592541523	0.012160518386333377	0.00656899200440201	0.005816695252608511	0.0061447211589612015	0.0009880457472254695
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00956501962282881	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.043443790391490586	0.04155546843274474	0.029846081849806166	0.01021373975931364	0.013027144029559908	0.007472539497404343	0.005650431151346209	0.0032750790240997836	0.0010343838681417421
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04307061008015684	0.03169043048073858	0.005007066784279628
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04011600062368368	0.007593227766424879	0.011259558326579197	0.005834472227760467	0.004239132898881575	0.0020582538348902783	0.0006832535381960828
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03939654089407504	0.03213599390424151	0.026909021237117917	0.003934216235258942
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.030081184978940818	0.12	0.12	0.12	0.12	0.12	0.12	0.04613074686352805	0.03562145512025378	0.005607232452695336
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04533892674357091	0.007091439183426291
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04558895322550686	0.006501898458275367
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0012037608020348022	0.0027914865286352204	0.0006179598953487948	0.000666885690110924	0.003574334918274691	0.000269557074501138
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.026446348220507558	0.12	0.12	0.12	0.12	0.12	0.12	0.04683236853502868	0.036586733719607745	0.005689435168994072
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008038602836136615
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01762793311429783	0.021531680916590367	0.012018350083177988	0.008505554500619529	0.0046790889437595415	0.0015251345390503693
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0075801025395518555
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04130775130952427	0.026966262056931884	0.02235953413528641	0.016160922424731442	0.01582708078939455	0.0020707856902756295
