	Pearson	N	Winner
HUMAN_RAW	0.997754706266891	7	True
SWSS+METEOR	0.990116333530262	7	True
EED	0.9896957312043743	7	False
YiSi-0	0.9860646452926134	7	False
BLEURT-extended	0.9854863027919362	7	False
parchrf++	0.9845114636244956	7	False
BLEURT	0.9844324842307881	7	False
chrF++	0.9826504046965726	7	False
mBERT-L2	0.9797212137615401	7	False
chrF	0.9775311366779165	7	False
CharacTER	0.9773698751281317	7	False
YiSi-1	0.9766810736661501	7	False
TER	0.9730254521435912	7	False
parbleu	0.9714558315377736	7	False
COMET	0.971124675973693	7	False
COMET-2R	0.9704117938265625	7	False
MEE	0.9699276539789063	7	False
BLEU	0.9690288144240183	7	False
sentBLEU	0.9685854383850779	7	False
BERT-base-L2	0.9673005713890506	7	False
BERT-large-L2	0.9588705007801053	7	False
prism	0.9504484100348578	7	False
paresim-1	0.9294417605093864	7	False
esim	0.9292823954071661	7	False
COMET-MQM	0.9143186003543456	7	False
COMET-Rank	0.9110465095565746	7	False
COMET-HTER	0.9011369565981728	7	False
COMET-QE	0.8956200867155161	7	False
OpenKiwi-XLMR	0.8795119135818276	7	False
YiSi-2	0.7897392277868355	7	False
OpenKiwi-Bert	0.7508651806592095	7	False
