	Kendall	N
COMET	1.0	7
paresim-1	1.0	7
mBERT-L2	1.0	7
esim	1.0	7
YiSi-1	1.0	7
BERT-base-L2	1.0	7
BERT-large-L2	1.0	7
OpenKiwi-XLMR	1.0	7
BLEURT	1.0	7
COMET-2R	1.0	7
COMET-HTER	1.0	7
COMET-MQM	1.0	7
COMET-QE	0.9047619047619049	7
HUMAN_RAW	0.9047619047619049	7
BLEURT-extended	0.9047619047619049	7
TER	0.8783100656536799	7
COMET-Rank	0.8095238095238096	7
CharacTER	0.8095238095238096	7
YiSi-2	0.8095238095238096	7
BLEU	0.7142857142857143	7
parbleu	0.7142857142857143	7
YiSi-0	0.7142857142857143	7
SWSS+METEOR	0.7142857142857143	7
OpenKiwi-Bert	0.7142857142857143	7
MEE	0.7142857142857143	7
EED	0.7142857142857143	7
prism	0.7142857142857143	7
sentBLEU	0.6190476190476191	7
chrF	0.6190476190476191	7
chrF++	0.6190476190476191	7
parchrf++	0.6190476190476191	7
