	HUMAN_RAW	SWSS+METEOR	EED	YiSi-0	BLEURT-extended	parchrf++	BLEURT	chrF++	mBERT-L2	chrF	CharacTER	YiSi-1	TER	parbleu	COMET	COMET-2R	MEE	BLEU	sentBLEU	BERT-base-L2	BERT-large-L2	prism	paresim-1	esim	COMET-MQM	COMET-Rank	COMET-HTER	COMET-QE	OpenKiwi-XLMR	YiSi-2	OpenKiwi-Bert
HUMAN_RAW	0.12	0.12	0.046880324718791874	0.03946272566310092	0.03195134092479992	0.02919024040824835	0.03754771321746555	0.02020890484977823	0.02267542578725853	0.016069553932969872	0.022897400924167508	0.020349297210496057	0.0046498016086777335	0.0024730749311911195	0.012727590315249893	0.01370028451507497	0.007655036059889974	0.0023196398268959923	0.003438170776603714	0.010579004033395146	0.007122036061125119	0.005678897366236821	0.0034556023742676367	0.0034600366980759986	0.0017111812050232757	0.0013796287564195099	0.001596012745839144	0.0016491429293193484	0.0016761727065866994	0.001962421290238223	0.0013210875417186906
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04309496338461058	0.04301470743562876	0.03321152173009846	0.03124806574068229	0.02568208799526223	0.02320943560870588	0.01963143963856483	0.010702032005156337	0.009456846095896502
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04673828828414769	0.12	0.046961116654436155	0.12	0.12	0.12	0.12	0.12	0.12	0.047838807567979466	0.03569567105476053	0.019132223624989304	0.12	0.12	0.12	0.04753895458744898	0.047353597676180643	0.03286643885556195	0.031417487205217386	0.028077225159195626	0.026523903705481116	0.021694471726912974	0.011465950813475364	0.008029020439170807
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04555218286504416	0.04118802239637938	0.03315450174298285	0.01699219017442864	0.014570026129281575
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.009797640639589959	0.009815369640104751	0.0050081069900711535	0.00802396616453336	0.012621609790803744	0.017200716347840442	0.0010279008076267404
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04989797180758747	0.04789762321420396	0.03954566171453439	0.020262886804663933	0.01154248794205349
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.000501865250418399	0.005480686274656123	0.12	0.12	0.12	0.0070691328953854824	0.010946676909006694	0.046921107747149575	0.005723875572741473	0.0062986356347235015	0.002476574952561087	0.003940531741872436	0.002056499568311118	0.0016434430620331573	0.00014458715122871795	0.004227735437686658	0.0005668196037380904
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.047751361947900355	0.0238563344107384	0.014412916152132318
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004628481487175259	0.012337641059591046	0.00308601375589922	0.007120693462930277	0.00456623205132494	0.015951207859094197	0.00028688149069551716
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.032640868754457104	0.024821692767661392
