LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim parbleu paresim-1 prism
en-iu_full NRC.715 0.3693733919317029 71.8734922354641 15.7897 -0.8397 35.1129 0.37952 18.88028966677886 0.07755821975131742 -0.10291615403117817 0.9026433104421606 0.9237863431069956 0.0046386071032142925 0.34420426016456324 0.9806680046880848 -0.5775710565365293 -0.4859495363795383 0.2593889249307397 0.05444533825020965 -1.582949191227791 0.517559907775 0.823778951531 0.7464329481659999 0.6308679999811847 19.9 0.6308679999811847 -1.8413400000000002
en-iu_full Facebook_AI.1465 0.3683680796933549 74.56708424110379 12.9752 -0.8642 33.124 0.36708 17.295604442948534 0.0772830207052555 -0.11397834841283593 0.899318767062635 0.9173192353169952 0.004310371522335857 0.3084625194491638 0.9699788500276808 -0.5950007903765313 -0.4969679693908041 0.2386803792066819 0.055919830295191764 -1.588386226730068 0.510231743521 0.818720623696 0.742270086839 0.6209622825004063 18.1 0.6209622825004063 -1.80503
en-iu_full UQAM_TanLe.521 0.0838663250055989 68.8935865504359 27.6925 -0.7639 39.319 0.41421 30.549853618310355 0.05715652802744044 -0.13782357635118822 0.8872561296501401 0.906170528932518 0.0040756867153303455 0.4026357726579964 0.9506146422371352 -0.5711962134057591 -0.4561818636845997 0.3252063578958066 0.059419019182235536 -1.5739587200714638 0.543752995321 0.828717431841 0.739518270279 0.6167019572233119 32.3 0.6167019572233119 -2.0207200000000003
en-iu_full CUNI-Transfer.1009 0.40861643464673497 77.4147316538883 11.0555 -0.9145 28.4635 0.31123 15.471604678559457 -0.052089872278175305 -0.16600403759831664 0.8874596201581803 0.8998148162977457 0.004899448402483772 0.2987773070228138 0.9241160153966486 -0.6451909833208088 -0.532327581190754 0.18787754538121465 0.05339270931844437 -1.5803218141000044 0.466002424167 0.799589996971 0.738483855941 0.591540267573778 16.7 0.591540267573778 -1.8301900000000002
en-iu_full UEDIN.1281 0.081497875799269 66.4018655186552 8.2364 -0.9357 26.0905 0.29011 13.300945607539596 -0.12830884544255958 -0.2843573458056404 0.8606544502282616 0.8868776998714301 0.0037269055754609115 0.26699046131017506 0.8937571401109412 -0.6724464522848321 -0.5560085236498329 0.17086571385373167 0.055945498394227834 -1.6008281124469228 0.44210517226499996 0.7918098187479999 0.7386532039720001 0.5796543251684181 13.7 0.5796543251684181 -1.99122
en-iu_full Groningen.1392 0.339460713633816 71.5971685317057 13.3011 -0.8829 33.1542 0.36236 17.01382059912488 0.05627372621667381 -0.1434310114949074 0.895193545870014 0.9154567638608352 0.004016373350108578 0.3050569479173041 0.9622882920565308 -0.5925548635377551 -0.4998911224206573 0.23034837032418626 0.05635323197474607 -1.5916090776403418 0.504609559071 0.817453358802 0.743309557725 0.609939205946444 16.5 0.609939205946444 -1.8586
en-iu_full SRPOL.383 0.28167485006403903 72.75500341530051 11.0448 -0.9285 29.229 0.3204 15.59433685627738 -0.026458364372520644 -0.14347254966226733 0.8913785531644802 0.909613344338116 0.003772282300886604 0.3193190184802775 0.9480994784429002 -0.6124937429039192 -0.5235762620016867 0.1945701937561184 0.05570676892140685 -1.5723986338055402 0.47751745721999994 0.8098403864020001 0.746358225513 0.6009793290294749 15.6 0.6009793290294749 -1.8307900000000001
en-iu_full Helsinki.992 0.296468084593719 75.17451499118171 10.1369 -0.9101 27.3441 0.30138000000000004 14.747082901379983 -0.054166664159065216 -0.19965968249808932 0.8809233615256392 0.8966579481643364 0.0043192709729831524 0.26081204021495524 0.9218497884063879 -0.6704305650457734 -0.5427563957887561 0.17907001764930314 0.055104623453077824 -1.576714573522703 0.461472014473 0.8011417458769999 0.7396059414339999 0.5785722224319555 13.4 0.5785722224319555 -1.89953
en-iu_full OPPO.722 -0.3841597631274121 48.224799099967896 5.5041 -1.0247 23.9438 0.26859 10.684648502187876 -0.3767003512209973 -0.44400536904386734 0.8203160507834567 0.8444788977378388 0.0018984066203686864 0.233539034998607 0.7766515734216474 -0.7043474377204648 -0.6019474203334397 0.13419419289218326 0.036300351615657866 -1.6211373783680616 0.402967553046 0.7721098603159999 0.7299572968699999 0.5101628057565885 9.4 0.5101628057565885 -2.34842
en-iu_full MultiLingual_Engine_Ubiqus.525 0.42537825745242497 75.2600698486612 11.0076 -0.9083 29.4506 0.32275 14.865365735442687 -0.014531483130798481 -0.18367492039827427 0.8900054824368941 0.9110268112115288 0.0042634429278184975 0.2969544282499457 0.9430022410840267 -0.6384818592953608 -0.5332076626894692 0.1900761937762913 0.04460776921077053 -1.606298731901416 0.468262463144 0.797457651969 0.742257702794 0.6143630918156756 16.7 0.6143630918156756 -1.9019400000000002
en-iu_full NICT_Kyoto.1219 0.3636240340630009 79.2178380600082 10.0348 -0.9684 27.6283 0.3063 14.58756597105359 -0.014428707891062669 -0.2023718288266741 0.878675280878015 0.8972296380559851 0.003959591199718664 0.2625314576725521 0.9217264736362756 -0.6438492653235591 -0.5380739361168118 0.18912415629515644 0.057905706585466725 -1.5989467549012069 0.471081551255 0.8004277586669999 0.746466622349 0.5932900801298495 14.5 0.5932900801298495 -1.9011
en-iu_full Human-A.0 0.574480187213835 90.5324773413897          0.00463287842356497      0.05537529756167408 -1.5891604660808016   0.7482080858300001    
