LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
en-ja SJTU-NICT.370 -0.131884366910172 53.9440088459992 14.5418 -1.1627 17.9907 0.23996 13.694902999999995 -0.4139402424246073 0.04784498928207904 0.7508677276335657 0.5765372762531042 0.1244262867500911 0.11614878731462296 0.018555109390988943 -0.6328599771020121 -0.5398855265863239 0.037158385433256634 0.09229346216656267 0.5448208778 0.733595969 0.899122657 0.20373368031531566 -0.2186724589690566 3.8 23.1471 0.17489425081945956 -2.0472099999999998
en-ja zlabs-nlp.95 0.159080948450013 63.9355330955212 19.1388 -1.5601 22.6482 0.29285 17.846001399999988 -0.16593234572559595 0.24942748922575264 0.8329631692143157 0.7089727567061782 0.2324370284016368 0.1424943999752919 0.27438178562931714 -0.6264876811814221 -0.4990441575795412 0.02238100917264819 0.283749663239345 0.5800861435 0.7636421290000001 0.898949363 0.3545556070134044 0.03404757713526487 9.4 29.3893 0.3425372512955219 -1.80837
en-ja NiuTrans.1347 0.5024273740566599 77.7388827636898 28.3586 -1.1883 27.7767 0.37049 25.851887699999992 0.05083324982225895 0.4839054397381842 0.8860850060358644 0.7944716616570949 0.29548957400720977 0.15946056279545212 0.5471142675299198 -0.4839553335375413 -0.4285936674103141 0.042629835188388816 0.4186205609589816 0.647526491 0.806619381 0.9053107459999999 0.5136654617376626 0.2631589796617627 11.8 34.9254 0.4778740528263152 -1.5852
en-ja Online-Z.1632 0.0321725503453673 59.79313393528971 13.5942 -2.8865 18.4878 0.24195 13.091971200000007 -0.4666742889806628 0.06508544811513275 0.7774440589537844 0.6078277731537819 0.1394912268744629 0.10757266656738304 -0.0044977126885205505 -0.6210824292613064 -0.5329381871968508 -0.22239003307744865 0.1617216899357736 0.5568231029999999 0.73824552 0.9018220859999999 0.2661046979017556 -0.18269728656858208 1.3 23.632 0.2379757105726749 -2.1489
en-ja OPPO.1201 0.4960283220026521 75.76324118589741 27.2513 -1.1012 27.1972 0.3626 24.467802999999968 0.05107406516373157 0.4901788900978864 0.8886978457802907 0.8003916321098804 0.31034435478717204 0.16183323162281252 0.5538691997788846 -0.4929972487795638 -0.4395852746851742 0.07029293871857226 0.4347757530808449 0.638974488 0.80232068 0.9040959359999999 0.5009211224280298 0.2683207690790296 11.2 34.1782 0.4584261747710407 -1.60992
en-ja Tohoku-AIP-NTT.1453 0.496300516707461 76.0535493827161 25.7742 -1.3794 26.2277 0.34337 23.6365511 0.018253577910363673 0.4756776300976053 0.8806311852205545 0.7779149125963449 0.2965966471904067 0.15567197277384084 0.5229932187888772 -0.5146659796697919 -0.4515702276155353 0.04759086879901588 0.4255202523730695 0.6254858277 0.793744993 0.906586569 0.4793078406974674 0.2292872610017657 10.4 33.5582 0.44321048486977815 -1.5824
en-ja Online-B.1591 0.334995889186363 70.2347173489279 22.5881 -1.1183 24.0255 0.3203 20.407667000000007 -0.08608652009814978 0.4037123734652996 0.8599669175371528 0.7388222084045408 0.25154091016688834 0.14460947271050906 0.43676362615451214 -0.5291856884944559 -0.4676735404878855 0.06121541894599795 0.3755017383974045 0.6059266729999999 0.783069021 0.9061440559999999 0.43075374394282706 0.16679159555584191 7.2 30.6152 0.3948982992488891 -1.6757400000000002
en-ja NICT_Kyoto.1223 0.374515251641474 71.77078831532609 23.8712 -1.1334 24.3353 0.32458000000000004 21.633222100000022 -0.03227010763436556 0.4077477603061125 0.8640067559704184 0.7476233851835131 0.2749453347938652 0.14923061056485784 0.4453094454202801 -0.5490861602673027 -0.4714937969632447 0.0590908642988652 0.3757779657281935 0.6111066634000001 0.782215673 0.90508482 0.4241784233264625 0.17247102573513984 10.5 31.52 0.3939906360786408 -1.66795
en-ja Human-A.0 0.576237766793268 79.67398884239891          0.3172726877320965     0.06773332506418228 0.3837747133616358   0.899400683      
en-ja Online-A.1575 0.348788073447847 71.2838218714769 23.4919 -1.0624 26.2629 0.33965 21.339654300000014 -0.06957052189856767 0.4045549947144464 0.8575803657183424 0.7418563996553421 0.2442649638237126 0.14664885445027406 0.43444567275606094 -0.512534807903557 -0.4563548861145974 0.06488347321376205 0.3758078883718699 0.621673871 0.791924113 0.906320392 0.4521023790277541 0.1657657656595111 11.3 32.9537 0.4166571639943868 -1.6460099999999998
en-ja ENMT.1477 0.491575688388224 75.9143549589858 25.9249 -1.1116 26.2957 0.35073000000000004 23.072689900000015 0.027671591803431508 0.4803645497392863 0.8855906437011436 0.79029285466671 0.3093228188192297 0.15913153739836824 0.5379495426993817 -0.5003522515708336 -0.4493364975377917 0.06469985272549092 0.42518376765772703 0.6326480839999999 0.797004156 0.903515719 0.4857719919085503 0.2354328520074487 10.5 33.6338 0.44648775124177337 -1.64378
en-ja Online-G.1557 -0.16430534563334806 52.758135391924 16.4657 -1.0927 19.5785 0.26104 15.295292499999983 -0.3431839548721909 0.0303947200011462 0.7584526904998348 0.6133341007642448 0.16684313427105008 0.11967800692880545 0.02219036927819252 -0.6545121622483536 -0.5212944613546133 0.057193735601380476 0.07900474377535284 0.5581782344 0.741342603 0.89562556 0.19625009870901705 -0.17129917293041946 3.8 25.1877 0.17661958474107087 -2.02339
