LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
en-ru zlabs-nlp.169 0.0354028146566995 71.32330540746379 20.1797 -0.7174 45.9235 0.48918 18.83011203796205 0.01717169168633181 0.39819554305522814 0.8404047272533745 0.5681448964184368 0.3662195248526804 0.14636443690900774 0.3428831792098808 -0.5569588146191734 -0.4532507840380237 0.3998184847137923 0.2716677527740732 0.3623942288809217 0.595367543457 0.934316764735 0.9241751103899999 0.3967992759455781 0.1061355126361092 25.4 50.7931 0.40281388317360417 -1.53397
en-ru Online-Z.1636 0.0116781531898569 68.537027027027 19.5313 -0.7066 45.5782 0.48735 18.788743006993002 -0.015435215498838988 0.4048989318635921 0.8359805956895981 0.5486759322674035 0.32847058880760377 0.14391290136863052 0.3375517699325999 -0.5660898246124557 -0.4489413543662929 0.3946353893490331 0.2349144755104384 0.34600338965773464 0.591352333167 0.9330991138860001 0.922599114885 0.3874507199463013 0.08153056429994927 24.2 49.9412 0.3880007967388222 -1.62673
en-ru Human-A.0 0.6813063048337928 91.7651841224295          0.5300956429828647      0.3236392816634743 0.4690041472217986   0.9156775064939999      
en-ru OPPO.1489 0.461176193971479 83.6971657424522 25.5129 -0.6535 50.389 0.5319699999999999 23.896154895104896 0.26015759869799626 0.6025041511624709 0.8927943011802565 0.6684575730917992 0.4723738811369115 0.16779206292925528 0.5704416109781179 -0.5041744793878837 -0.41235992345553296 0.4539310325583728 0.3471958254232303 0.5081693924559684 0.638297408092 0.943719451548 0.927317644356 0.5085770722076699 0.28928015040574256 31.0 55.0611 0.5121420773786384 -1.35764
en-ru PROMT_NMT.374 0.252006477693157 75.0915358451073 23.1999 -0.6756 48.5328 0.51469 21.64729235764237 0.163555344642995 0.5331911776134824 0.8756824199847141 0.6329636493554482 0.4261216033745033 0.15945088469738247 0.4912819878480115 -0.5238612956318555 -0.4279083944391924 0.4300762478184713 0.3141562579893744 0.4579653256646284 0.620893969031 0.94027535015 0.926443655844 0.4651458875148685 0.21743511347533698 28.3 53.2399 0.4695138747066066 -1.4345299999999999
en-ru Online-B.1595 0.335999782590393 80.29498592990541 24.1123 -0.6683 49.2647 0.52086 22.812493956044 0.2048329202445237 0.5618524088060947 0.8819781336258841 0.6479647544609917 0.4491814803449135 0.16289788058636254 0.5289573248384611 -0.518263063776731 -0.4217822870172627 0.4403630764883344 0.34296848327591345 0.4870334893379446 0.6263548461540001 0.9412508416580001 0.926306703796 0.4864591365172105 0.2655061910507622 30.5 53.9817 0.4903650110611668 -1.4048
en-ru Online-A.1577 0.0810059840256653 75.30676048565121 21.4058 -0.7013 46.8604 0.49835 20.2289314685315 -0.017538823094312008 0.3637169365074251 0.8200359065867179 0.5297595719768704 0.33663339216379445 0.1363749225306165 0.29780144395435104 -0.5434141509543249 -0.4408581507635061 0.4121357625050846 0.19483517370113249 0.2721720100906152 0.608312344655 0.9350567003 0.9255787952050001 0.3818166944068986 0.038631769487044436 26.4 51.6273 0.3856794020211274 -1.54589
en-ru ariel197197.1373 0.404209602434211 79.6083064949007 24.76 -0.8359 49.0581 0.51848 23.139763936063932 0.24464913647059916 0.4673859215412218 0.8465512766275782 0.569798631007438 0.36304968918948705 0.1405863973240741 0.4618643944102389 -0.5237577320380619 -0.4220680632432188 0.3980247022411888 0.3196263546766071 0.4507845828996285 0.6269589231270001 0.938392184815 0.9238521078919999 0.4926470128501153 0.280162836656674 30.2 53.6519 0.4980870654655771 -1.5733
en-ru DiDi_NLP.1455 0.222341519855062 76.18090123456791 22.4077 -0.6887 47.9406 0.50976 21.262899300699306 0.11359280462448415 0.4893742196841517 0.8609148443445794 0.6021079005679111 0.3885040367567799 0.15090412632583158 0.4366318390767028 -0.5358707975360355 -0.4317419818201503 0.4236930615445653 0.29698228252517594 0.4214077358079198 0.617424730969 0.9382551103899999 0.926885747253 0.4597937027392509 0.1911219955644348 28.8 52.655 0.4645623159264545 -1.48911
en-ru Online-G.1560 0.469048119028221 81.5431955211025 24.6364 -0.6628 50.1185 0.5314300000000001 23.17453726273725 0.2470594330967128 0.5877391663942855 0.8897938733519456 0.6585934106465224 0.470663106433579 0.1647659952776625 0.5575235484421001 -0.5025079226289653 -0.4138585841459977 0.44772909046367415 0.3211663389089076 0.4864768060677863 0.63308822028 0.9424066653350001 0.926488412088 0.4967760592401325 0.27649661165091777 30.2 54.9819 0.499127628515241 -1.39106
