LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BAQ_dyn BAQ_static BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED EQ_dyn EQ_static OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
en-zh Online-B.1597 0.282441373737473 73.69656647528991 43.2676 -1.1268 28.3205 0.37671 40.98051495063467 0.6547496543765875 0.5795858143138234 0.2722013844032634 0.4933690799187412 0.8762383236614159 0.7528981028390032 0.21027595158671916 0.15182264189859693 0.4808576708575461 -0.3609078637998275 -0.362865462251617 0.6635045587376582 0.32446281344005684 0.06823107128114307 0.2915045999303166 0.628689254584 0.850190044429 0.9060046276450001 0.4542461849712308 0.21514154173570396 49.6 33.5371 0.3820843151737693 -1.74458
en-zh dong-nmt.768 0.135784852042513 69.5062078797304 37.1854 -4.1803 27.6209 0.32565 35.746541396332844 0.6144598048025393 0.5342340673279267 0.17604663275571064 0.3427019682437003 0.7811183357809648 0.5935491625921031 0.14271741561396314 0.1155407978104126 0.3095155688848646 -0.3969873436884999 -0.3906997207004435 0.6182936685677011 0.24488958814598036 0.06279369821963761 0.14129002211413152 0.601881912553 0.8274648899860001 0.903671361072 0.3714947230162885 0.08746346587522746 45.3 31.6657 0.3112038400862235 -2.08641
en-zh Tencent_Translation.1332 0.420323451616117 79.0076804007655 48.3601 -1.0057 32.1266 0.42765 46.84281699576865 0.6984679644647389 0.5896185559146695 0.34646242141345324 0.5773514530579434 0.90424493229416 0.8094696816797822 0.25396114088937644 0.16691334451760456 0.5888718741818506 -0.3043432945895297 -0.31763766435394003 0.7121041796812424 0.39045488953667146 0.0923258574464068 0.3487532979392345 0.6715484894220001 0.87138530536 0.907924279972 0.522667281442599 0.304719376526195 56.2 37.6271 0.4451186580226161 -1.5992600000000001
en-zh NiuTrans.1511 0.4037257002715229 77.4278934221482 47.6515 -25.0248 32.414 0.42014 45.85139485190405 0.648240576573342 0.5938762513885757 0.3501645860029713 -1.0740750553716916 0.23358778765869076 0.11155769822669803 0.004839129468280856 0.08650034189939106 -0.9930393323722612 -0.3110683180355742 -0.3211038470523083 0.7109921864548672 0.3929181441889989 0.3592675965350274 -0.8048757889895202 0.48848251763000006 0.869197670663 0.8522595966150001 0.5205834029828249 0.2998553748611671 55.5 37.8767 0.4410714900727963 -2.7540299999999998
en-zh Online-G.1562 0.121661158818172 70.0949634451482 38.9987 -1.1708 25.6022 0.34029 37.00984231311703 0.6248292453526091 0.5439280527947803 0.1498639385606069 0.4078588599400865 0.8362551613846119 0.6828862698315229 0.16094426052238492 0.12379768335121195 0.3567918378344838 -0.3783438310120147 -0.3822009865580749 0.6318559074795479 0.23247805624189 0.033994857795872795 0.17041706343605714 0.612888497179 0.8323730218619999 0.907773438646 0.3812195272152069 0.0688860689792966 46.3 30.5262 0.31089022045374465 -1.86068
en-zh Online-Z.1638 0.13465548018428095 68.4694774867513 32.1159 -1.9121 21.2902 0.28203 30.86699400564178 0.593658866519746 0.523463745446403 -0.005548769348052728 0.3504345695631334 0.8183725966135373 0.6356402195790423 0.13656214076357587 0.09904350042995827 0.273400563960803 -0.4163177417690208 -0.4174839284045068 0.6093738818469686 0.19719144432157967 -0.03702940020515821 0.14178796816349282 0.591296959097 0.818217523977 0.907070633992 0.3503328641306488 -0.10099450044848857 42.5 28.0728 0.28617440792633425 -2.03527
en-zh Huawei_TSC.618 0.414966546727361 77.3328515185602 46.546 -1.0991 30.5779 0.40658 44.517907686882964 0.6814717903956279 0.5959610794950642 0.33928351289210434 0.5673372581672076 0.8980087567552956 0.7968373530043871 0.25232356290252833 0.16595704223735322 0.5713883702326645 -0.33053344987026834 -0.33629324753953954 0.6924647221163598 0.3816790180324397 0.07823897076426507 0.3530059115375341 0.655341620592 0.8636571170659999 0.9085529696760001 0.5008373853996165 0.2901153780036568 54.3 36.5344 0.4277181046987307 -1.63463
en-zh Online-A.1579 0.241172872970745 72.967922752168 42.25 -1.1131 28.2612 0.37201 40.56013709449925 0.6537476314139637 0.5774177357799721 0.24139920924231936 0.4802914767188502 0.8656352203338025 0.7382830070549745 0.2034501362829292 0.14640837418615354 0.4618843501901362 -0.35177423372266003 -0.3565925244893485 0.6653663619139617 0.3264073871375177 0.049195534842580095 0.25689716055878925 0.638140528209 0.848661793371 0.9064844739069999 0.43729046020756657 0.17311858820330944 49.4 33.0431 0.3658284551302452 -1.7843099999999998
en-zh Huoshan_Translate.716 0.37287602212433896 76.57814768365448 45.1512 -1.5578 29.746 0.39243 43.42999308885754 0.6676198906107197 0.5827661771643169 0.32521423757370505 0.5458756958210661 0.8897944461457085 0.7806868244839993 0.249438219778392 0.16335589035812745 0.5429726183816412 -0.3536551829093963 -0.3443491766833515 0.6789624606107195 0.3543222292503527 0.09003208343028939 0.33178126252399515 0.644682042313 0.857583512694 0.9079576847669999 0.4779465738578853 0.2644597462342976 53.8 35.7654 0.4115040385688435 -1.6583900000000003
en-zh OPPO.1147 0.446602373049545 79.967495942683 47.285 -1.1287 30.5969 0.40734 44.734159449929436 0.6788234579139626 0.6098958839950626 0.35494836044139183 0.5755174130842363 0.9067193067735074 0.8078937144642656 0.2810510708231741 0.17244618083160174 0.5828465457614223 -0.3354817321496634 -0.3362340711987195 0.6881333809689697 0.4091690330662901 0.07209573440090852 0.3747147971039115 0.6533212228490001 0.865100605078 0.906350707334 0.505175217295168 0.3067454999924883 54.1 36.9709 0.4329412928381764 -1.60144
