LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
ja-en NICT_Kyoto.1230 0.08446543980080601 75.1725391498881 22.802 -0.7175 47.4548 0.49877 20.851963343403824 0.1629323200786942 0.18212037240150356 0.08719300063024955 0.06620666912915363 0.32274406310077103 0.8776187256132398 0.7180312813521332 0.23949888618435006 0.16075523841427194 0.323103235813171 -0.5888283892628107 -0.4311251334268281 0.4582812515285045 0.2234094328428023 0.11479947464268615 0.36989300681179066 0.608817666878 0.922363111782 0.894553844914 0.3605822514506265 0.12964602838920322 26.6 51.2665 0.35976764144449075 -2.0578
ja-en OPPO.1529 0.0877917753486157 74.08223684210529 24.776 -0.6905 49.8279 0.5231 21.879508257804627 0.2373843125076092 0.233483746077599 0.13929011771776165 0.13216737355410393 0.3803727555642991 0.8912900535826837 0.7427260558170614 0.2464430650162676 0.16543003669893586 0.4018130388583572 -0.5637198681697159 -0.4207816164666732 0.473222335501543 0.2432732366865795 0.1422347939232775 0.3772922295369597 0.619089342397 0.927288299094 0.8966881490430001 0.4158847257157287 0.1898155982295672 28.0 53.7143 0.4157801920009734 -1.99856
ja-en zlabs-nlp.66 -0.208167055884772 64.12834075723829 14.0166 -0.8092 37.9941 0.40442 13.000255589123864 -0.2237596438685573 -0.12411386671983465 -0.24757912792528025 -0.2818470230215386 -0.02792614881298153 0.8000091416826931 0.5808448164507162 0.14576151804839488 0.1360270123815793 -0.06494060153664959 -0.7333215657503921 -0.5119836042969969 0.3428066059693365 0.18539576729513849 -0.06606894689691811 0.2881551437196011 0.525122059718 0.8947327703929999 0.8854372799600001 0.10121287553677144 -0.1987372597253695 17.0 41.2406 0.09895839484001456 -2.6120400000000004
ja-en Online-G.1564 -0.220499749176766 65.9886122881356 15.8065 -0.7897 40.9892 0.44008 14.916288922457197 -0.19481595904985585 -0.13817963596107016 -0.2361049571366229 -0.26100594627653123 0.03588216469603453 0.7830047589123684 0.5512183549582268 0.1390493613015214 0.12999464630475827 -0.010146663356328538 -0.6800195298257765 -0.4854470455131802 0.36849266612108056 -0.057169551667565065 -0.0948645457801712 0.3077282905748814 0.550598237059 0.8965684652570001 0.8876560815710001 0.08799093573054999 -0.2198180185569017 18.3 44.4242 0.0838650554242241 -2.6486400000000003
ja-en Online-B.1599 0.0680470238281771 73.3496543778802 21.3753 -0.698 47.6071 0.50441 20.40601127895264 0.08381484627483594 0.11057752851032898 0.0010526452179761812 0.0053565265068714965 0.2828236322161579 0.8583999320542044 0.6750373510720746 0.18215581369129727 0.15372588184315336 0.2791199059022097 -0.5957717513552946 -0.4270835561023168 0.4445966539778583 0.1325171904719068 0.06394500523798115 0.3651017317087811 0.610241191339 0.921008708963 0.896158277946 0.3402571512268029 0.08384626452536262 25.1 51.3109 0.3390244057876586 -2.12372
ja-en eTranslation.269 0.0194687349299168 71.0824712643678 22.2184 -0.6979 47.1963 0.49868 20.949854884189307 0.1477443368923508 0.17148837582222284 0.07064425004392952 0.05069625748308283 0.316680965632808 0.8787158350342995 0.7169266346118002 0.2259987407923357 0.16013473234659786 0.3111999691215467 -0.6045205928109185 -0.4309137949958249 0.4445145671645127 0.20466956244884785 0.10626829290820693 0.3664565979286756 0.610055917422 0.922815194361 0.894766376636 0.3643376046242071 0.13507023143084027 26.1 50.7876 0.3638917361325157 -2.04933
ja-en Online-A.1581 0.0258173177835829 70.864849187935 22.1329 -0.7049 47.9307 0.50663 20.60613484390736 0.1173502160883382 0.1336037924912761 0.01369936939812859 0.031439921031785764 0.2916593764780121 0.8547315803166078 0.6768139164298322 0.19001684887488504 0.155071023581991 0.2894494709993027 -0.5897594968246072 -0.42896144401585945 0.4512490697131502 0.12933087019926953 0.07680255760253976 0.3682093671337096 0.611213593152 0.9211110785500001 0.895748446123 0.3559610818973241 0.097901018004403 25.7 51.7944 0.3534296884352467 -2.13265
ja-en Tohoku-AIP-NTT.1429 0.184304603464239 75.1200227531286 25.474 -0.6714 51.0253 0.53608 23.284694763343392 0.2630405154413087 0.25928172359593804 0.16438999374407415 0.16125829373781775 0.4015226612676006 0.8945091524511231 0.7508604366853758 0.2512866502436687 0.16820013634970055 0.4211352826954285 -0.5492534836002164 -0.4075080205640434 0.4863269845226184 0.2254721834141412 0.14766368394096693 0.3899533344005112 0.630644600201 0.930292823766 0.897499369587 0.4367649227695883 0.22123498039663375 29.0 55.0598 0.43553892057107657 -1.8925400000000001
ja-en NiuTrans.1352 0.14661217495789802 76.3810325476992 26.5602 -0.6709999999999999 51.0903 0.53533 24.075626283987926 0.2375795431397593 0.23768545285782666 0.13472580199935524 0.13454644272454674 0.3745781729674982 0.8882242202634988 0.7376633538130187 0.2301292575218257 0.1682671194513464 0.3995113046680393 -0.5471753090133087 -0.4071174796336787 0.4881678736225805 0.22481612764741604 0.13626726466715935 0.3878927073200801 0.634181413897 0.92904846425 0.897533672709 0.4281872361185627 0.20803953488877894 30.1 54.8679 0.42588208644854403 -1.94238
ja-en Online-Z.1640 -0.239511491746738 61.7066160520607 11.5662 -0.8108 37.2266 0.39896 11.603801913393767 -0.3563400005841063 -0.23988520188213955 -0.4166234080780069 -0.37553687108547423 -0.14792626602190648 0.7013099837639301 0.3957380413753989 0.05597939165931961 0.10437285322969662 -0.2262064170051077 -0.7187235408159305 -0.5067254673888436 0.33701204232155857 -0.3549199661470702 -0.2439455850685741 0.30236214355483043 0.533938417925 0.888764270896 0.884921627392 0.059857441106771776 -0.3720436639190921 13.5 40.4375 0.055985561254071316 -2.8904799999999997
