LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
pl-en Online-G.1566 0.0966796731180974 76.6512345679012 29.8557 -0.5495 55.4532 0.5768300000000001 27.477201498501483 0.3674897788823782 0.3433386954245391 0.2839007572709145 0.2835012156735886 0.5593144279494361 0.9289280298202264 0.7941515795834415 0.3676760574934661 0.17250177319219487 0.5627673851599643 -0.4444459470232916 -0.3590425934128977 0.5452459456958889 0.23194250059532714 0.3559233715737259 0.4403265678797016 0.664830294705 0.9423246313689999 0.926781297702 0.5736280489753891 0.3677919655517264 38.1 60.7241 0.5785801418378697 -1.48472
pl-en Huoshan_Translate.1523 -0.0414922854607074 73.26040391676871 34.4437 -0.5229 59.1524 0.61173 31.870921278721237 0.36060446441233096 0.3588977183376278 0.2904397597635066 0.28813527018337937 0.5846451817259014 0.9325607827986468 0.8101913268630441 0.3608756811572003 0.17759477796991516 0.5889396565695564 -0.40914619749109454 -0.3364052329357569 0.5833584795057432 0.2397670782897826 0.3710346335710792 0.4605374385196952 0.6864181089910001 0.946213466533 0.9296764145849999 0.5770565339705566 0.3888225154234813 43.0 64.5979 0.5818755136473434 -1.37879
pl-en NICT-Rui.1492 0.0958622449871661 77.7417840375587 34.5543 -0.5217 59.0661 0.6100899999999999 32.04958331668332 0.3690073503317176 0.3682308055155285 0.3005161602775772 0.3015376333292429 0.5950877462447687 0.9351723100552772 0.8164656655295388 0.36323375419597576 0.17864669819557938 0.5997662693708689 -0.4078655337296053 -0.33571794484421 0.5885737379592475 0.24195176152722697 0.3721570298261753 0.46212441819789396 0.68950127982 0.946977749251 0.930284350649 0.5873846947573699 0.3951588473119936 43.1 64.4329 0.5927634966595994 -1.35566
pl-en Online-Z.1642 0.00617816755080895 77.30548996458091 28.6399 -0.5731 55.1343 0.57415 27.21228741258738 0.2116422298086154 0.2120212229130628 0.16727183787496416 0.16426832744708428 0.4949977208397814 0.9023252956031428 0.7329136053403537 0.29244042363107464 0.15947727040735685 0.4818373221725404 -0.4517021139920607 -0.3627174893872334 0.5404547666499341 0.15091642178222908 0.2787765882142655 0.4345232683938851 0.655447739261 0.9351182947050001 0.926187086913 0.4750367329417766 0.27683005199119165 35.6 59.9777 0.4769888035915829 -1.63259
pl-en CUNI-Transformer.245 -0.00338449441602844 78.1236872812135 31.8981 -0.5383 57.2724 0.5928800000000001 29.7530906093906 0.37281800443297264 0.3630957349048152 0.3042906611473053 0.2956618548600705 0.5856014340166952 0.9352891816516647 0.8142753529411692 0.37629468557285 0.1775130019056993 0.5886205526517255 -0.4257642017498845 -0.3474381836084696 0.5694372847476286 0.2457659235084569 0.3769580443835371 0.4494484166572382 0.677379126873 0.944908082917 0.9281441978020001 0.5780091958639624 0.38944823186208205 40.4 62.6161 0.5834073918507798 -1.4068200000000002
pl-en Online-B.1601 0.0944894117734227 77.863767281106 33.9156 -0.5195 58.9065 0.60968 31.837189910089897 0.367899410389401 0.3564568186303476 0.29354744272810834 0.2959426484860621 0.5879359133067084 0.9302612901502452 0.8012556830694625 0.3534201339918271 0.17594224530619312 0.5921980615567554 -0.4059758699996445 -0.33441094326210785 0.5810563959645407 0.23214954573225666 0.3553737397012594 0.4619542515415714 0.6873861009990001 0.946449635365 0.929554307692 0.589186750315167 0.3909342212306631 42.3 64.1504 0.5945022885634617 -1.38434
pl-en SJTU-NICT.331 0.0852918563408126 78.0955703883495 32.1626 -0.5457 57.4567 0.5956600000000001 29.61651418581419 0.35334293119289295 0.34810952914434 0.2866184300297386 0.2840967393004811 0.5808996453566792 0.930175712198153 0.8023010452429612 0.3561655292784938 0.17284832535696287 0.5745382653763303 -0.4233995105868899 -0.3459006315981085 0.5671922674883662 0.2323502513052492 0.3645298481676039 0.4533095502003442 0.6765783221780001 0.944616202797 0.929022954046 0.5687414863957213 0.3827227902162325 40.5 63.0381 0.5749246523353633 -1.40743
pl-en OPPO.733 0.0498114105166687 75.17763157894741 32.4643 -0.5426 57.5151 0.5957899999999999 29.534823176823174 0.3565920969242459 0.3500582020018961 0.2892304836706324 0.2863987895337256 0.5764530369608135 0.9322904062445287 0.8052872189513215 0.3725457879579019 0.17389069897035542 0.5725548495478058 -0.423714168034551 -0.3485125984464373 0.5633725851912184 0.24526016620340405 0.3739705350655657 0.4434001590018379 0.673517612388 0.941393455544 0.927548564436 0.5740678015013377 0.37755575197768376 40.5 63.0665 0.5800280047452205 -1.4501
pl-en NICT_Kyoto.1234 -0.037509820974068 76.1164736164736 31.8486 -0.5493 56.5672 0.5859 29.82348271728273 0.3791362861474673 0.3697174661881202 0.31285317883743985 0.3012632201244305 0.5850128371335499 0.9357230757501768 0.8087864840006852 0.3799631643045801 0.17482943886530367 0.5820452799549797 -0.4326700360198068 -0.3474627102192093 0.5648213175531279 0.2526962108887754 0.3730246239489728 0.4516741344576416 0.678101077922 0.944611916084 0.9275291428569999 0.5740596598142629 0.3856181002461113 40.2 61.8495 0.5796600507589039 -1.40815
pl-en SRPOL.1506 0.131104761058361 77.2408008658009 34.2565 -0.5229 59.1867 0.61156 31.582278221778235 0.3998836776116987 0.38655738408987106 0.3343512495453065 0.3257830232441366 0.6141760788818861 0.9394503993444614 0.8252982136669692 0.3754096842554258 0.17942936480853192 0.6197780720688604 -0.4063027369688127 -0.334522429488964 0.5879275010988809 0.24378655267159244 0.3869292744073448 0.4634569480732337 0.688804716284 0.9486838861139999 0.929796393606 0.595449296971569 0.4090258217417634 42.9 64.6889 0.6012142951694224 -1.32952
