LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
ru-en OPPO.1094 0.112572397943507 79.7313109425785 39.1643 -0.4875 63.7841 0.65774 36.759295358223994 0.4482191184875824 0.4421194163569288 0.37018045801086696 0.3851694977277463 0.5970195082507794 0.938286515881282 0.8364904554021346 0.3333980892258359 0.1875970596720453 0.6145623840136015 -0.37204944480794944 -0.30121696878301674 0.6310765464972078 0.2675961927462869 0.3439016710350329 0.4989203431509955 0.7159759566089999 0.955590320888 0.929350701312 0.6343649216710499 0.4668829138912298 46.3 68.5339 0.6375934431887599 -1.18486
ru-en zlabs-nlp.1164 -0.15329968810711098 71.7286348501665 29.5954 -0.5786 57.4841 0.59904 28.03372300706359 0.19738333486584436 0.2044060662704568 0.10779226369080702 0.14203977114196742 0.4087470364084939 0.8866164897071379 0.7239719842730691 0.22789797089633398 0.15042834212145192 0.3751538123702395 -0.4403703332604901 -0.3505536764216404 0.5632559011440212 0.1428252007552882 0.19684372538198855 0.4439497717085421 0.661509364279 0.937133142281 0.9268845711399999 0.4483528033530436 0.2394367711755751 34.9 62.1798 0.44791675585873736 -1.5642399999999999
ru-en Human-B.0 0.0619114478687957 79.8684895833333 34.6063 -0.5277 60.8024 0.63239 32.29714974772955 0.4453999420588481 0.43683183501454825 0.3809115525586935 0.3779390070561083 0.5743505573247895 0.9389220134549664 0.8354717521401034 0.33203585857982393 0.1824112519531628 0.5985441668979696 -0.3986183262812092 -0.32097324407936706 0.6004856292101961 0.2632520467937594 0.3225418118145373 0.4779625884126359 0.69532714329 0.9534404914229999 0.924366039354 0.6248441099609304 0.4519127411871216 40.6 65.3911 0.626360235089205 -1.3063799999999999
ru-en DiDi_NLP.1191 -0.0162113390750598 75.9738805970149 34.0628 -0.5384 59.9296 0.62133 32.194170938445986 0.3265576534326575 0.3270298410075464 0.2516694428656705 0.2636484670199973 0.5005458996073915 0.9196438205876696 0.7890831977880807 0.2861458228560623 0.1709514900926851 0.4939099939729864 -0.4070612332576091 -0.3285929235281079 0.5927276195186236 0.2371740814309669 0.2953816842697523 0.4671144422629276 0.6881266256309999 0.9453653037340001 0.927839031282 0.5478494342014298 0.3637962988930201 40.4 64.7296 0.551936075888296 -1.4056600000000001
ru-en Online-A.1583 0.114367707834503 80.9449339207048 36.5388 -0.5074 61.7567 0.6379 34.312387083753784 0.40728538887111015 0.4023354839755356 0.3198877467607514 0.3433520216363229 0.5619351104574746 0.9297202013068344 0.8161288929575026 0.3172876168153822 0.17735563244085364 0.5695199496577955 -0.3912607503134223 -0.31584737831153403 0.6126112141811413 0.25265053454805336 0.3175987728376141 0.4839621547015768 0.701644112008 0.951437764884 0.9285440070640001 0.6081778264663715 0.4162091517409329 43.3 66.4334 0.6121317605205129 -1.2668700000000002
ru-en Online-B.1603 0.0721864798087545 80.15178571428571 37.923 -0.5026 63.1152 0.65185 35.43254419777997 0.4241308444052724 0.4194052508392199 0.3397151254320481 0.3618568860287623 0.5810978921707325 0.933954388920996 0.8251891020238099 0.32175421538082305 0.18272061929988906 0.5955953149220837 -0.38071896086836376 -0.3088885385742341 0.6223858126721634 0.2568716916709567 0.329599734611892 0.494340127048747 0.708886253179 0.953424430878 0.9297931220990001 0.6193389165864582 0.4457609536113099 44.0 67.7177 0.6227808436200278 -1.23637
ru-en PROMT_NMT.78 0.0959464364574067 79.4908759124088 38.2071 -0.4981 63.463 0.6540199999999999 35.92746236125122 0.4231753857387183 0.4142309560183921 0.3389895944494292 0.3626558031552254 0.5807072811249707 0.93421773861917 0.8290650628349254 0.31772082368512866 0.18301977655050453 0.5963024714065097 -0.375462377821008 -0.30613666679992085 0.6318943345297273 0.2529493843973074 0.3263840410467444 0.4973181556032694 0.711233698285 0.9540195176590001 0.93025315439 0.6183227483487634 0.44842837222379106 44.9 68.0934 0.6213756026333624 -1.22075
ru-en Online-G.1567 0.12383429767425 79.26035322777099 37.4587 -0.4829 63.3994 0.65474 35.87232946518663 0.4550844070348442 0.44726559972366103 0.3602872870027959 0.39156446084906427 0.5914099919088147 0.9359165005805018 0.817548419599817 0.3252000232454397 0.1827866010098161 0.6071504312543918 -0.36633843885666 -0.2994467236170231 0.6337051751006804 0.2545637340537685 0.32064836436185296 0.5032258258649113 0.716984183653 0.953532822402 0.929778756811 0.6338902252353164 0.4532446213645483 44.1 68.1882 0.6362960578838042 -1.22553
ru-en AFRL.1083 0.0261181010365988 79.1653726708075 34.9663 -0.5326 61.2932 0.63403 33.196200908173545 0.32330679950632313 0.32506088786180515 0.2311910774284367 0.2638665533781533 0.4980475859919527 0.906166746629746 0.7663283046827427 0.2732505023554652 0.16639271979842118 0.488656710692344 -0.40029350576746936 -0.3230038072686458 0.6104290466068262 0.20909065090864146 0.2541103631231697 0.4754000720953479 0.6962465681129999 0.946903123108 0.927748696266 0.5404360902004177 0.3457079507132351 41.3 66.0963 0.5426878176994178 -1.3799700000000001
ru-en eTranslation.686 0.103922134720395 80.6146706586826 37.472 -0.5057 63.4741 0.65489 35.701904540867794 0.4578175704275924 0.4458699487262489 0.3770409120335108 0.3919237465057315 0.6039940944997787 0.9427563132178772 0.8429421909702294 0.33853839138339353 0.18787920652005075 0.6204206813709466 -0.3710169691631867 -0.3033787970027983 0.6315695592871143 0.2809869884658985 0.35532995017563057 0.4975746436682585 0.712965466196 0.9559216488400001 0.9297886478299999 0.6428239187629805 0.4731050485333448 44.3 68.4065 0.6457697789680014 -1.18067
ru-en ariel197197.512 0.0423466880217548 77.6732749742533 39.1415 -0.4864 63.2456 0.65246 35.95346508577194 0.4588531682307256 0.4468115700933214 0.3830986690418992 0.3917485252097926 0.5951292983883114 0.9429945417254124 0.8423516022569597 0.34210028323879915 0.18940624701500308 0.6141212284790519 -0.3796424600613667 -0.30705842098942937 0.6195347748181376 0.2781942915096202 0.35034282607196504 0.4935463802282157 0.7093754510600001 0.9552360887989999 0.9278744510600001 0.6394625780004425 0.4663494046773728 46.6 68.0626 0.6444522104104821 -1.18895
ru-en Online-Z.1644 -0.0216195521549111 75.18225623582771 31.9745 -0.557 58.2735 0.6056 29.922899798183675 0.2801641984931997 0.2858003465050886 0.18651566499567895 0.2273621782284572 0.4770514602931714 0.9012455236435492 0.7469025408523956 0.2575537365257156 0.16150020805942955 0.4658554207672686 -0.4244636962034036 -0.3393702502602074 0.576117884041541 0.1756517647396243 0.2470831489669747 0.456262752589441 0.6758309334010001 0.942473794147 0.9272447406659999 0.5288427409637949 0.31440068612215377 37.7 62.7245 0.5303420906869543 -1.47319
