LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
ta-en Huoshan_Translate.1431 0.11621201009366698 71.9424740484429 19.6813 -0.6972 48.6911 0.51918 19.073808024072235 0.3804126538358696 0.343930627848045 0.24894079118369214 0.2630674293490805 0.5156340165336504 0.9030759762673674 0.7701852684214696 0.3344636921646085 0.15758799597017864 0.5154794948483811 -0.5565497189928021 -0.4122221938959335 0.4565300100805642 0.2970086251392049 0.3862819037677621 0.3847539842248283 0.606777032096 0.9297525085259999 0.904926608826 0.4865305898832522 0.3692623891063416 26.3 54.4291 0.4910705423929776 -1.95943
ta-en TALP_UPC.192 -0.450678365950336 53.894736842105296 10.2723 -0.8446 34.881 0.37123 10.8984669007021 -0.08480515507392683 -0.1137978897963388 -0.18347577254475655 -0.2311445116966873 0.046186748476383266 0.7959208044091776 0.5934921899061265 0.18761198656533476 0.12800678543088706 0.056156881172266034 -0.7235419142095622 -0.5308285505252114 0.33624270143800283 0.18927313920218825 0.1317906129746553 0.2767620791111505 0.48638718986999996 0.8830956629889999 0.8910001805419999 0.1185518041208252 -0.09185369313510514 14.0 39.1474 0.11819314226926628 -3.0121599999999997
ta-en Online-B.1604 0.175799118471687 68.9217519685039 21.8111 -0.6722 50.0784 0.5306 21.033650351053147 0.3976696148709046 0.3635746620991524 0.2723133194978641 0.2808057369595186 0.5167185486440987 0.8997853288143022 0.7710940393067172 0.335813330729417 0.15837108286354215 0.5273456347708327 -0.5356878136063268 -0.3948804590843595 0.4815761624569667 0.2782861996169315 0.3677977334517414 0.3970862205023078 0.622822931795 0.9321843911740001 0.9046663981949999 0.5064322250103999 0.3693404239093289 28.9 55.5332 0.5110627023714297 -1.90355
ta-en Online-A.1584 -0.0678375838805347 64.471766848816 19.666 -0.6834 47.8189 0.50894 19.14645025075223 0.3503866851808076 0.3206725109858044 0.20758291653758185 0.2266688233123739 0.4490577852542147 0.8743227208864576 0.7211238010417494 0.27463729863454955 0.14880480900040655 0.4564889324632816 -0.5842246300845205 -0.4154624840657534 0.4542985047883506 0.21952744318899084 0.3072204617419119 0.3799713442983438 0.603876096991 0.927507134403 0.901596656971 0.4687350147974527 0.3137906309863629 25.6 52.7514 0.4707090245726086 -2.05382
ta-en zlabs-nlp.1180 0.0010436535183987801 66.4304308797127 17.596 -0.7372 46.0484 0.49064 17.006880742226677 0.3110253286576917 0.2727578044341225 0.17999647897756926 0.17842870587511073 0.43874078805753614 0.8875514934700703 0.7476949500090021 0.31943389263326033 0.15295973132113794 0.4388697113329871 -0.5847325837140469 -0.43598477817406733 0.43763065941913065 0.2952220093238437 0.35070177221085985 0.3638787356527337 0.5837761634899999 0.922374658977 0.902790641926 0.4242356983139558 0.2893052154268281 23.1 51.5688 0.4292470211613411 -2.15425
ta-en GTCOM.1409 0.203322115863525 68.7117202268431 20.2719 -0.6738 48.1717 0.51132 19.962269608826485 0.3684477736741872 0.33689951066417223 0.2396315018251284 0.25209099821066305 0.5030266394111942 0.8944187419444188 0.7520056683626194 0.30806283321339584 0.15376883445181902 0.5041777502162496 -0.559983550232461 -0.4063356577819484 0.4620721998628153 0.2553654420661293 0.3557428227309717 0.385342822431932 0.6110681514540001 0.929781621866 0.903885633902 0.4948324119801089 0.3481101666837781 26.8 53.3734 0.4980808671735743 -1.9718
ta-en Online-G.1568 -0.398294785125604 53.680412371134004 5.2198 -1.1461 36.4501 0.3985800000000001 6.792093179538628 -0.3363805052449734 -0.4150871705999944 -0.44502740641803656 -0.5337340695299619 -0.3778587397582149 0.43642757634035373 0.22675502811789275 0.008361290626881247 0.07634905531913913 -0.3637553617589871 -0.7272800804664808 -0.5553307721284829 0.3168075540114237 -0.41879780875255496 -0.339095949282199 0.2754609265901409 0.48707605055200004 0.862263336008 0.8736472698090001 -0.20340528036117436 -0.4445591005183749 7.0 42.2363 -0.20910980393073209 -3.8194
ta-en Online-Z.1645 0.0068222659461355285 64.4782608695652 15.373 -0.716 44.1902 0.47352 15.87577311935807 0.15152868184605714 0.1337226835586721 -0.031504794424670635 0.04156232467565756 0.26034634333821305 0.7657752742069804 0.5251302344270551 0.14500812816809466 0.11877602298263068 0.2416838304183577 -0.6037086938197819 -0.44013219775861817 0.4187170609450673 -0.014301771912705097 0.15207795951788197 0.36310025180522976 0.587419799398 0.9083976619859999 0.8976776940819999 0.3538249929621442 0.09273012779062706 19.1 48.4722 0.3522093162975585 -2.51649
ta-en OPPO.1364 0.20188711125534806 70.3458904109589 22.8508 -0.6602 51.142 0.54188 22.021209929789343 0.3953386529189055 0.3602176078986619 0.26469604546949643 0.2751063080644655 0.5323835419969205 0.9040084088112834 0.7770144348756719 0.3326687343964142 0.16129091260924142 0.5409012067719263 -0.5226048098410263 -0.3911388873074992 0.4936195989177212 0.28004527655070505 0.37542058913076415 0.4032184858040773 0.628793845537 0.9337559769310001 0.906598541625 0.5089947514669407 0.3797849055936368 28.9 56.5721 0.5116896243035465 -1.8775400000000002
ta-en UEDIN.384 -0.0196343183347031 60.7687007874016 16.6228 -0.7379 45.3396 0.48347 16.466079137412244 0.30240371061812193 0.25699863387056915 0.15784040150964032 0.1822919691039423 0.4393589078535585 0.8807853342649511 0.7296690741552034 0.29607321616598586 0.1492715242187789 0.4339825150331738 -0.5875686553766125 -0.4380229504367032 0.4338178826787543 0.2726369687321492 0.3498943822987101 0.3598375608069879 0.583418709127 0.9108109217649999 0.903461462387 0.4335773293425889 0.2884151212938332 22.3 50.8975 0.4371184945188709 -2.17923
ta-en Microsoft_STC_India.264 -0.0163945125532707 67.5316957210777 14.1526 -0.7318 43.0495 0.4623 14.637642728184526 0.2444187748127261 0.2105244943496576 0.07134042030859855 0.12391664223780965 0.3521939404224725 0.8475698112335464 0.6419625482115607 0.20616429800250446 0.13282883641689114 0.3282946742334989 -0.6160415369459985 -0.4473359239630498 0.4051913806229164 0.16339993528057722 0.2553580834725526 0.3578891239396025 0.574141120361 0.9128730902709999 0.90075135005 0.3953703941484033 0.18472406940689776 18.7 47.8946 0.3988326391898313 -2.3727099999999997
ta-en NiuTrans.1540 0.14990906157716102 70.881404174573 20.9675 -0.6896 49.8513 0.52782 20.091165596790365 0.3929983609717492 0.3527545658656683 0.2657107341447948 0.27446130372456823 0.5123389962324527 0.9034788601675866 0.7779477073800719 0.3438434156872454 0.15765545351107962 0.5228001472755983 -0.5393686531570306 -0.40643552269267225 0.4765830306910971 0.3081420870197035 0.3792346443405512 0.3906650511496261 0.614413935807 0.930920157472 0.905037668004 0.4885788061389833 0.3738019429632988 27.7 55.4265 0.4925791794338909 -1.932
ta-en DCU.988 -0.0779790097440278 63.36498257839721 15.7758 -0.738 42.5212 0.45009 15.665805917753255 0.15792530059156829 0.13030455910125252 0.0059564310978862675 0.02882097048709242 0.28372080745633205 0.8421652936586809 0.6521634302487823 0.21704372249487708 0.13700359915719054 0.2706871162931861 -0.6496536458531973 -0.4623460345859513 0.4090000101716459 0.2025470937842292 0.23293325486205285 0.3391039366814759 0.55882972317 0.907800899699 0.90075203009 0.32920741585784835 0.11703978612675232 20.8 46.95 0.327978530463388 -2.56926
ta-en Facebook_AI.1460 0.17319179629917902 73.8580677290837 21.4934 -0.6795 50.2013 0.53214 20.610048645937788 0.4374045209441644 0.3939494817791396 0.3214767696251841 0.31687797256254985 0.5652407437774055 0.9164181562652484 0.7979083828471131 0.3743153099454456 0.16254344638611445 0.5731251266567315 -0.5302182344842734 -0.399137063060748 0.483898705305096 0.3190201668885192 0.4111110508337303 0.3999352697333352 0.621638749248 0.934842953862 0.906690497492 0.5229320684625368 0.41499963444596905 28.5 56.142 0.5279238275051445 -1.7981099999999999
