	Kendall	N
COMET-2R	0.45054945054945056	14
paresim-1	0.45054945054945056	14
esim	0.45054945054945056	14
YiSi-1	0.45054945054945056	14
HUMAN_RAW	0.42857142857142855	14
mBERT-L2	0.42857142857142855	14
parbleu	0.4198959112834707	14
parchrf++	0.4065934065934066	14
BLEU	0.4065934065934066	14
COMET	0.4065934065934066	14
BLEURT	0.4065934065934066	14
chrF++	0.4065934065934066	14
BERT-base-L2	0.4065934065934066	14
MEE	0.3626373626373627	14
chrF	0.3626373626373627	14
BERT-large-L2	0.3406593406593407	14
SWSS+METEOR	0.3406593406593407	14
prism	0.3406593406593407	14
CharacTER	0.3406593406593407	14
BLEURT-extended	0.3406593406593407	14
COMET-Rank	0.3406593406593407	14
YiSi-2	0.3186813186813187	14
EED	0.2967032967032967	14
sentBLEU	0.2967032967032967	14
COMET-QE	0.2967032967032967	14
TER	0.28729720245711154	14
COMET-HTER	0.27472527472527475	14
COMET-MQM	0.27472527472527475	14
OpenKiwi-XLMR	0.27472527472527475	14
YiSi-0	0.23076923076923078	14
OpenKiwi-Bert	0.18681318681318684	14
