	Kendall	N
HUMAN_RAW	0.9999999999999999	6
COMET-Rank	0.9999999999999999	6
COMET-MQM	0.9999999999999999	6
COMET-HTER	0.8666666666666666	6
paresim-1	0.8666666666666666	6
parbleu	0.8666666666666666	6
mBERT-L2	0.8666666666666666	6
esim	0.8666666666666666	6
YiSi-2	0.8666666666666666	6
YiSi-1	0.8666666666666666	6
OpenKiwi-XLMR	0.8666666666666666	6
COMET	0.8666666666666666	6
COMET-2R	0.8666666666666666	6
BLEURT-extended	0.8666666666666666	6
TER	0.8666666666666666	6
BERT-base-L2	0.8666666666666666	6
BERT-large-L2	0.8666666666666666	6
prism	0.8666666666666666	6
BLEURT	0.8666666666666666	6
MEE	0.7333333333333333	6
EED	0.7333333333333333	6
COMET-QE	0.7333333333333333	6
YiSi-0	0.7333333333333333	6
CharacTER	0.7333333333333333	6
chrF	0.7333333333333333	6
chrF++	0.7333333333333333	6
parchrf++	0.7333333333333333	6
SWSS+METEOR	0.7333333333333333	6
BLEU	0.6	6
sentBLEU	0.6	6
OpenKiwi-Bert	0.4666666666666666	6
