	HUMAN_RAW	prism	BLEURT	YiSi-1	BERT-large-L2	COMET-2R	SWSS+METEOR	BERT-base-L2	BLEURT-extended	YiSi-2	COMET	parbleu	mBERT-L2	TER	YiSi-0	EED	esim	paresim-1	chrF++	parchrf++	chrF	BLEU	sentBLEU	COMET-MQM	MEE	OpenKiwi-XLMR	COMET-HTER	COMET-Rank	CharacTER	COMET-QE	OpenKiwi-Bert
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04174238765083499	0.041910913039958454	0.04017912549933617	0.04053248416432042	0.04096612990268751	0.039919486363023254	0.0356687306427293	0.03419147547084596	0.033858970397472994	0.03206161495917028	0.028925410112284205	0.025217035239499638	0.02004531303692498
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03088011369988446	0.12	0.042273246998520884	0.032560261772516	0.026193638067358353	0.02891748350346687	0.12	0.007601910455630531
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.049289736335853575	0.039907272756475064	0.12	0.12	0.12	0.12	0.12	0.044758378352835936	0.12	0.026027997135079986	0.025810952092409148	0.03491197655106955	0.12	0.029670404797672724	0.015084846034272327
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.041924558655489844	0.12	0.12	0.04120867798483064	0.03485793876450777	0.12	0.12	0.008763204738872009
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.000620399728901777	0.12	0.12	0.12	0.12	0.12	0.01659904344108298	0.0074601007597125185	0.12	0.12	0.12	0.12	0.12	0.03592618877782829	0.12	0.022650227503861416	0.020056760346852602	0.02812081468428679	0.12	0.0338076576348037	0.011741929099636252
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.039959460403161576	0.0437304847989307	0.12	0.12	0.032045984354712766	0.025841154574984912
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03843740231647243	0.12	0.038277220547308526	0.12	0.12	0.12	0.03664040007457244	0.12	0.12	0.12	0.01821618558379863	0.12	0.12
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02470249975714863	0.025111496443195915	0.03848599192951496	0.12	0.032548841479357875	0.016329272476492577
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.038651686731588746	0.12	0.12	0.12	0.0186505292714539	0.03346292039664499
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.021511119839622374	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03386380296781249	0.029287775242678653	0.03926458391943348	0.12	0.047387562819047026	0.01484264264075088
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007797695066184975	0.12	0.12
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.043789651580744514	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.016780040233936155
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.037907782283254275	0.12	0.04222440856250184
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.029116412246155035	0.12	0.12	0.12	0.12	0.12	0.013109022321247771	0.12	0.12	0.12	0.014948843000380754	0.12	0.12
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02528280741638995	0.018212251829054102	0.015035985284741472	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0031322215080038978	0.12	0.12
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01705394166490657
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04938379546988669	0.12	0.12	0.12	0.017384300555109918
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011716798797368174	0.12	0.12
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014786057400660373	0.12	0.12
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013465987429553967	0.12	0.12
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.016420253819244415	0.12	0.12	0.0037321830932170344
