	Pearson	N	Winner
MEE	0.8783768007881199	10	True
SWSS+METEOR	0.8763925449707476	10	True
HUMAN_RAW	0.8758580286015046	10	True
YiSi-0	0.8735243464343442	10	True
EED	0.8720152988989905	10	True
CharacTER	0.8690522048366267	10	True
BLEURT	0.8437629272926394	10	True
COMET-2R	0.843440972236978	10	True
BERT-large-L2	0.8430480494410414	10	True
prism	0.8385920109558138	10	True
BERT-base-L2	0.8361548376650553	10	True
COMET	0.8360796759739003	10	True
esim	0.8339081389066407	10	True
chrF++	0.8329866188944313	10	True
sentBLEU	0.8329629248010031	10	True
YiSi-1	0.8325408980652513	10	True
chrF	0.8308161101996102	10	False
TER	0.8286232635922609	10	True
paresim-1	0.8280014174865197	10	True
parchrf++	0.823094060240946	10	False
YiSi-2	0.8144891777129558	10	True
mBERT-L2	0.8054618384935193	10	False
BLEURT-extended	0.7971016258261789	10	False
COMET-QE	0.7728359801515666	10	False
BLEU	0.7612184800545196	10	False
COMET-MQM	0.7460558239760389	10	False
parbleu	0.7438366405732337	10	False
COMET-HTER	0.7407663092770725	10	False
COMET-Rank	0.7323818312155984	10	False
OpenKiwi-XLMR	0.6971879627737986	10	False
OpenKiwi-Bert	0.6948616547981117	10	False
