	MEE	SWSS+METEOR	HUMAN_RAW	YiSi-0	EED	CharacTER	BLEURT	COMET-2R	BERT-large-L2	prism	BERT-base-L2	COMET	esim	chrF++	sentBLEU	YiSi-1	chrF	TER	paresim-1	parchrf++	YiSi-2	mBERT-L2	BLEURT-extended	COMET-QE	BLEU	COMET-MQM	parbleu	COMET-HTER	COMET-Rank	OpenKiwi-XLMR	OpenKiwi-Bert
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.039514240527083924	0.12	0.12
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03875349386256745	0.12	0.12	0.027160591599664687	0.12	0.12	0.12	0.12	0.047994668121602455	0.12	0.04455524137189981	0.12	0.04906118523992745	0.12	0.04967672713810927
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04949004152737319	0.12	0.03308619149351715	0.12	0.04613660278679648
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04940926592154689	0.12	0.12
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03018631195017071	0.04127025132366853	0.12	0.12	0.12	0.028313358444594802	0.006315642883431145	0.02868377021211452	0.04591742135214806
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0377110609123709	0.12	0.043935086387400055	0.12	0.04223831714273979	0.12	0.023215254152898247	0.00204053742165605	0.015522867622168396	0.0469785627055274
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.018054211234615685	0.030271498727442094	0.12	0.12	0.12	0.025612503948450847	0.006867572098923726	0.0269592898663691	0.037977688740031476
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04132057599555722	0.12	0.12	0.004282554962715753	0.031075344739552896	0.0417310799168318
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0232340504777615	0.038033404095522035	0.12	0.12	0.12	0.028730529631149415	0.008286450691082393	0.030763195547374347	0.04227702086950115
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0355228306365111	0.004493860504178278	0.0231456050281033	0.12
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.031797571553064854	0.013575737975408371	0.023121161112454935	0.12
